id,comment,cleanText,translated,noStopword,stemmed,tokens,wordCount,finalText,sentiment,confidence
20,Bapak² emang yaa klo anak bilang minta beli ini itu langsung tancap gas . Teori parentingnya langsung ilang yg habis d pelajari kmren.  Istilahnya gak bisa mkir make asal sehat klo punya uang trs ank minta maenan 😂.,bapak² emang yaa klo anak bilang minta beli ini itu langsung tancap gas teori parentingnya langsung ilang yg habis d pelajari kmren istilahnya gak bisa mkir make asal sehat klo punya uang trs ank minta maenan,bapak² emang yaa klo anak bilang minta beli ini itu langsung tancap gas teori parentingnya langsung ilang yg habis d pelajari kmren istilahnya gak bisa mkir make asal sehat klo punya uang trs ank minta maenan,bapak² emang yaa klo anak bilang minta beli itu langsung tancap gas teori parentingnya langsung ilang yg habis d pelajari kmren istilahnya gak mkir make asal sehat klo punya uang trs ank minta maenan,bapak emang yaa klo anak bilang minta beli itu langsung tancap gas teori parentingnya langsung ilang yg habis d ajar kmren istilah gak mkir make asal sehat klo punya uang trs ank minta maenan,"['bapak', 'emang', 'yaa', 'klo', 'anak', 'bilang', 'minta', 'beli', 'itu', 'langsung', 'tancap', 'gas', 'teori', 'parentingnya', 'langsung', 'ilang', 'yg', 'habis', 'd', 'ajar', 'kmren', 'istilah', 'gak', 'mkir', 'make', 'asal', 'sehat', 'klo', 'punya', 'uang', 'trs', 'ank', 'minta', 'maenan']",34,bapak emang yaa klo anak bilang minta beli itu langsung tancap gas teori parentingnya langsung ilang yg habis d ajar kmren istilah gak mkir make asal sehat klo punya uang trs ank minta maenan,Netral,Medium
22,"Thanks bang radit, saya jadi tau cara menghitung dana pensiun, dan thanks ka Agatha udah ngasih pertanyaan² bagus ke bang radit yg sangat bermanfaat yg relate buat saya anak gen Z 😂",thanks bang radit saya jadi tau cara menghitung dana pensiun dan thanks ka agatha udah ngasih pertanyaan² bagus ke bang radit yg sangat bermanfaat yg relate buat saya anak gen z,thanks bang radit saya jadi tau cara menghitung dana pensiun dan thanks ka agatha udah ngasih pertanyaan² bagus ke bang radit yg sangat bermanfaat yg relate buat saya anak gen z,thanks bang radit jadi tau cara menghitung dana pensiun thanks ka agatha udah ngasih pertanyaan² bagus bang radit yg sangat bermanfaat yg relate buat anak gen z,thanks bang radit jadi tau cara hitung dana pensiun thanks ka agatha udah ngasih tanya bagus bang radit yg sangat manfaat yg relate buat anak gen z,"['thanks', 'bang', 'radit', 'jadi', 'tau', 'cara', 'hitung', 'dana', 'pensiun', 'thanks', 'ka', 'agatha', 'udah', 'ngasih', 'tanya', 'bagus', 'bang', 'radit', 'yg', 'sangat', 'manfaat', 'yg', 'relate', 'buat', 'anak', 'gen', 'z']",27,thanks bang radit jadi tau cara hitung dana pensiun thanks ka agatha udah ngasih tanya bagus bang radit yg sangat manfaat yg relate buat anak gen z,Positif,Medium
23,💟,,,,,[],0,,Netral,Low
24,"Pengeluaran perbulan ku cukup di angka 5jt/bln.
Berarti 60jt/th.
Dibagi 4% ketemu angka 1,5M.

Rencana mau jual tanah bapak kurang lebih nilainya 5M.
Masalahnya bapak masih sehat dan kuat, jadi belom boleh dijual.
Jadi musti nunggu beberapa tahun lagi.

Sekarang tabungan yg ada kira-kira baru 3juta 2ratus 5puluh, itupun sisa gaji bulan lalu.

Semoga segera bisa dapat jual tanah bapak, supaya bisa segera financial freedom.",pengeluaran perbulan ku cukup di angka jtbln berarti jtth dibagi ketemu angka m rencana mau jual tanah bapak kurang lebih nilainya m masalahnya bapak masih sehat dan kuat jadi belom boleh dijual jadi musti nunggu beberapa tahun lagi sekarang tabungan yg ada kirakira baru juta ratus puluh itupun sisa gaji bulan lalu semoga segera bisa dapat jual tanah bapak supaya bisa segera financial freedom,pengeluaran perbulan ku cukup di angka jtbln berarti jtth dibagi ketemu angka m rencana mau jual tanah bapak kurang lebih nilainya m masalahnya bapak masih sehat dan kuat jadi belom boleh dijual jadi musti nunggu beberapa tahun lagi sekarang tabungan yg ada kirakira baru juta ratus puluh itupun sisa gaji bulan lalu semoga segera bisa dapat jual tanah bapak supaya bisa segera financial freedom,pengeluaran perbulan ku cukup angka jtbln berarti jtth dibagi ketemu angka m rencana mau jual tanah bapak kurang lebih nilainya m masalahnya bapak sehat kuat jadi belom dijual jadi musti nunggu beberapa tahun sekarang tabungan yg kirakira baru juta ratus puluh itupun sisa gaji bulan lalu semoga segera dapat jual tanah bapak bisa segera financial freedom,keluar bulan ku cukup angka jtbln arti jtth bagi ketemu angka m rencana mau jual tanah bapak kurang lebih nilai m masalah bapak sehat kuat jadi bom jual jadi musti nunggu beberapa tahun sekarang tabung yg kirakira baru juta ratus puluh itu sisa gaji bulan lalu moga segera dapat jual tanah bapak bisa segera financial freedom,"['keluar', 'bulan', 'ku', 'cukup', 'angka', 'jtbln', 'arti', 'jtth', 'bagi', 'ketemu', 'angka', 'm', 'rencana', 'mau', 'jual', 'tanah', 'bapak', 'kurang', 'lebih', 'nilai', 'm', 'masalah', 'bapak', 'sehat', 'kuat', 'jadi', 'bom', 'jual', 'jadi', 'musti', 'nunggu', 'beberapa', 'tahun', 'sekarang', 'tabung', 'yg', 'kirakira', 'baru', 'juta', 'ratus', 'puluh', 'itu', 'sisa', 'gaji', 'bulan', 'lalu', 'moga', 'segera', 'dapat', 'jual', 'tanah', 'bapak', 'bisa', 'segera', 'financial', 'freedom']",56,keluar bulan ku cukup angka jtbln arti jtth bagi ketemu angka m rencana mau jual tanah bapak kurang lebih nilai m masalah bapak sehat kuat jadi bom jual jadi musti nunggu beberapa tahun sekarang tabung yg kirakira baru juta ratus puluh itu sisa gaji bulan lalu moga segera dapat jual tanah bapak bisa segera financial freedom,Negatif,Medium
27,Dengan kata lain lu nunggu orang tua lu cepet mokad😂,dengan kata lain lu nunggu orang tua lu cepet mokad,dengan kata lain lu nunggu orang tua lu cepet mokad,kata lu nunggu orang tua lu cepet mokad,kata lu nunggu orang tua lu cepet mokad,"['kata', 'lu', 'nunggu', 'orang', 'tua', 'lu', 'cepet', 'mokad']",8,kata lu nunggu orang tua lu cepet mokad,Positif,Medium
29,f for respect keren bgt bang radit,f for respect keren bgt bang radit,f for respect keren bgt bang radit,f for respect keren bgt bang radit,f for respect keren bgt bang radit,"['f', 'for', 'respect', 'keren', 'bgt', 'bang', 'radit']",7,f for respect keren bgt bang radit,Positif,Medium
34,I see terus😂,i see terus,i see terus,i see terus,i see terus,"['i', 'see', 'terus']",3,i see terus,Netral,Low
35,"enak punya bapak kaya Raditya Dika 
Kalau gue jadi anaknya bakal ngajak jadi Naruto dkk😂",enak punya bapak kaya raditya dika kalau gue jadi anaknya bakal ngajak jadi naruto dkk,enak punya bapak kaya raditya dika kalau gue jadi anaknya bakal ngajak jadi naruto dkk,enak punya bapak kaya raditya dika kalau gue jadi anaknya bakal ngajak jadi naruto dkk,enak punya bapak kaya raditya dika kalau gue jadi anak bakal ngajak jadi naruto dkk,"['enak', 'punya', 'bapak', 'kaya', 'raditya', 'dika', 'kalau', 'gue', 'jadi', 'anak', 'bakal', 'ngajak', 'jadi', 'naruto', 'dkk']",15,enak punya bapak kaya raditya dika kalau gue jadi anak bakal ngajak jadi naruto dkk,Positif,Medium
38,"Chelsea sumpah ""OK OK OK"" nya ganggu banget. Jadi host tu jangan gatel buat nyautin narasumber. Sesuai porsi pertanyaan lu aja. Kita yang nonton karena dengerin narasumbernya malah jadi kegangggu karena lu nyautin oke oke mulu. Belajar lagi cara jadi host yang baik gak cuma ngandelin isi pertanyaan",chelsea sumpah ok ok ok nya ganggu banget jadi host tu jangan gatel buat nyautin narasumber sesuai porsi pertanyaan lu aja kita yang nonton karena dengerin narasumbernya malah jadi kegangggu karena lu nyautin oke oke mulu belajar lagi cara jadi host yang baik gak cuma ngandelin isi pertanyaan,chelsea sumpah ok ok ok nya ganggu banget jadi host tu jangan gatel buat nyautin narasumber sesuai porsi pertanyaan lu aja kita yang nonton karena dengerin narasumbernya malah jadi kegangggu karena lu nyautin oke oke mulu belajar lagi cara jadi host yang baik gak cuma ngandelin isi pertanyaan,chelsea sumpah ok nya ganggu banget jadi host tu jangan gatel buat nyautin narasumber sesuai porsi pertanyaan lu aja nonton dengerin narasumbernya malah jadi kegangggu lu nyautin oke oke mulu belajar cara jadi host yang baik gak cuma ngandelin isi pertanyaan,chelsea sumpah ok nya ganggu banget jadi host tu jangan gatel buat nyautin narasumber sesuai porsi tanya lu aja nonton dengerin narasumber malah jadi kegangggu lu nyautin oke oke mulu ajar cara jadi host yang baik gak cuma ngandelin isi tanya,"['chelsea', 'sumpah', 'ok', 'nya', 'ganggu', 'banget', 'jadi', 'host', 'tu', 'jangan', 'gatel', 'buat', 'nyautin', 'narasumber', 'sesuai', 'porsi', 'tanya', 'lu', 'aja', 'nonton', 'dengerin', 'narasumber', 'malah', 'jadi', 'kegangggu', 'lu', 'nyautin', 'oke', 'oke', 'mulu', 'ajar', 'cara', 'jadi', 'host', 'yang', 'baik', 'gak', 'cuma', 'ngandelin', 'isi', 'tanya']",41,chelsea sumpah ok nya ganggu banget jadi host tu jangan gatel buat nyautin narasumber sesuai porsi tanya lu aja nonton dengerin narasumber malah jadi kegangggu lu nyautin oke oke mulu ajar cara jadi host yang baik gak cuma ngandelin isi tanya,Negatif,Medium
42,bang radit sangat berwawasan luas,bang radit sangat berwawasan luas,bang radit sangat berwawasan luas,bang radit sangat berwawasan luas,bang radit sangat wawas luas,"['bang', 'radit', 'sangat', 'wawas', 'luas']",5,bang radit sangat wawas luas,Negatif,Medium
44,100jt ÷ 4℅ = (x25),jt ÷ ℅ x,jt ÷ ℅ x,jt ÷ ℅ x,jt x,"['jt', 'x']",2,jt x,Netral,Low
45,"i really appreciate agatha and all of her team. The question it self sooo aim the core of it point😊 

And also her attitude… i give 100 for you.",i really appreciate agatha and all of her team the question it self sooo aim the core of it point and also her attitude… i give for you,Saya sangat menghargai Agatha dan semua timnya pertanyaannya sendiri mengarahkan inti dari itu dan juga sikapnya ... Saya memberi untuk Anda,Saya sangat menghargai Agatha semua timnya pertanyaannya sendiri mengarahkan inti itu juga sikapnya ... Saya memberi Anda,saya sangat harga agatha semua tim tanya sendiri arah inti itu juga sikap saya beri anda,"['saya', 'sangat', 'harga', 'agatha', 'semua', 'tim', 'tanya', 'sendiri', 'arah', 'inti', 'itu', 'juga', 'sikap', 'saya', 'beri', 'anda']",16,saya sangat harga agatha semua tim tanya sendiri arah inti itu juga sikap saya beri anda,Negatif,Medium
46,thanks sudah menggali sisi lain dari bg radit,thanks sudah menggali sisi lain dari bg radit,thanks sudah menggali sisi lain dari bg radit,thanks menggali sisi dari bg radit,thanks gali sisi dari bg radit,"['thanks', 'gali', 'sisi', 'dari', 'bg', 'radit']",6,thanks gali sisi dari bg radit,Netral,Low
49,"Raditya Dika adalah sosok yg kalau makan kacang isinya dibuang kulit nya di makan

Quote by Marmut merah jambu",raditya dika adalah sosok yg kalau makan kacang isinya dibuang kulit nya di makan quote by marmut merah jambu,raditya dika adalah sosok yg kalau makan kacang isinya dibuang kulit nya di makan quote by marmut merah jambu,raditya dika sosok yg kalau makan kacang isinya dibuang kulit nya makan quote by marmut merah jambu,raditya dika sosok yg kalau makan kacang isi buang kulit nya makan quote by marmut merah jambu,"['raditya', 'dika', 'sosok', 'yg', 'kalau', 'makan', 'kacang', 'isi', 'buang', 'kulit', 'nya', 'makan', 'quote', 'by', 'marmut', 'merah', 'jambu']",17,raditya dika sosok yg kalau makan kacang isi buang kulit nya makan quote by marmut merah jambu,Positif,Medium
