id,comment,cleanText,typoNormalized,translated,negationHandled,noStopword,tokens,stemmed,wordCount,finalText,sentiment,confidence,labelMethod
13,"@prafastabima6331  
wkwkw caper bet lu",wkwkw caper bet lu,wkwkw caper bet kamu,wkwkw caper bet kamu,wkwkw caper bet kamu,wkwkw caper bet kamu,"['wkwkw', 'caper', 'bet', 'kamu']",wkwkw caper bet kamu,4,wkwkw caper bet kamu,Negatif,Medium,Auto
14,Hmmm,hm,hm,hm,hm,hm,['hm'],hm,1,hm,Netral,Low,Auto
15,"gk usah bangga, ini di pin admin",gk usah bangga ini di pin admin,tidak usah bangga ini di pin admin,tidak usah bangga ini di pin admin,biar bangga ini di pin admin,biar bangga di pin admin,"['biar', 'bangga', 'di', 'pin', 'admin']",biar bangga di pin admin,5,biar bangga di pin admin,Positif,Medium,Auto
16,tim produksi selalu liat komen kali biar bisa di bahas sama mereka tentang kekurangan konten atau masukan,tim produksi selalu liat komen kali biar bisa di bahas sama mereka tentang kekurangan konten atau masukan,tim produksi selalu liat komen kali biar boleh di bahas sama mereka tentang kekurangan konten atau masukan,tim produksi selalu liat komen kali biar boleh di bahas sama mereka tentang kekurangan konten atau masukan,tim produksi selalu liat komen kali biar boleh di bahas sama mereka tentang kekurangan konten atau masukan,tim produksi selalu liat komen kali biar di bahas sama tentang kekurangan konten masukan,"['tim', 'produksi', 'selalu', 'liat', 'komen', 'kali', 'biar', 'di', 'bahas', 'sama', 'tentang', 'kekurangan', 'konten', 'masukan']",tim produksi selalu liat komen kali biar di bahas sama tentang kurang konten masukan,14,tim produksi selalu liat komen kali biar di bahas sama tentang kurang konten masukan,Positif,Medium,Auto
17,Apakah ada keuntungan ekonominya?,apakah ada keuntungan ekonominya,apakah ada keuntungan ekonominya,apakah ada keuntungan ekonominya,apakah ada keuntungan ekonominya,ada keuntungan ekonominya,"['ada', 'keuntungan', 'ekonominya']",ada keuntungan ekonomi,3,ada keuntungan ekonomi,Positif,Medium,Auto
18,nahloh,nahloh,nahloh,nahloh,nahloh,nahloh,['nahloh'],nahloh,1,nahloh,Netral,Low,Auto
19,Orang banyak bener yg ngiri,orang banyak bener yg ngiri,orang banyak bener yang ngiri,orang banyak bener yang ngiri,orang banyak bener yang ngiri,orang banyak bener ngiri,"['orang', 'banyak', 'bener', 'ngiri']",orang banyak bener ngiri,4,orang banyak bener ngiri,Negatif,Medium,Auto
20,"Dia masih kecil biarin sih, anak seneng kok, ditanya apa manfaatnya",dia masih kecil biarin sih anak seneng kok ditanya apa manfaatnya,dia masih kecil biarin sih anak senang kok ditanya apa manfaatnya,dia masih kecil biarin sih anak senang kok ditanya apa manfaatnya,dia masih kecil biarin sih anak senang kok ditanya apa manfaatnya,masih kecil biarin sih anak senang kok ditanya apa manfaatnya,"['masih', 'kecil', 'biarin', 'sih', 'anak', 'senang', 'kok', 'ditanya', 'apa', 'manfaatnya']",masih kecil biarin sih anak senang kok tanya apa manfaat,10,masih kecil biarin sih anak senang kok tanya apa manfaat,Positif,High,Auto
21,Wkwkwk caper bet lu 😂,wkwkwk caper bet lu,wkwkwk caper bet kamu,wkwkwk caper bet kamu,wkwkwk caper bet kamu,wkwkwk caper bet kamu,"['wkwkwk', 'caper', 'bet', 'kamu']",wkwkwk caper bet kamu,4,wkwkwk caper bet kamu,Negatif,Medium,Auto
22,"caper, binatang",caper binatang,caper binatang,caper binatang,caper binatang,caper binatang,"['caper', 'binatang']",caper binatang,2,caper binatang,Negatif,Medium,Auto
23,Siapa lo😂😂😂,siapa lo,siapa kamu,siapa kamu,siapa kamu,siapa kamu,"['siapa', 'kamu']",siapa kamu,2,siapa kamu,Positif,Medium,Auto
24,Awokawokawok,awokawokawok,awokawokawok,awokawokawok,awokawokawok,awokawokawok,['awokawokawok'],awokawokawok,1,awokawokawok,Positif,Medium,Auto
25,"Yaa gak mungkin lah, komen lu di pin kan ama si fadil😂",ya gak mungkin lah komen lu di pin kan ama si fadil,iya tidak mungkin lah komen kamu di pin kan ama si fadil,iya tidak mungkin lah komen kamu di pin kan ama si fadil,iya tidak mungkin lah komen kamu di pin kan ama si fadil,iya mungkin lah komen kamu pin kan ama si fadil,"['iya', 'mungkin', 'lah', 'komen', 'kamu', 'pin', 'kan', 'ama', 'si', 'fadil']",iya mungkin lah komen kamu pin kan ama si fadil,10,iya mungkin lah komen kamu pin kan ama si fadil,Netral,Medium,Auto
26,Biarkan lah para fakir pin sesekali berbahagia,biarkan lah para fakir pin sesekali berbahagia,biarkan lah para fakir pin sesekali berbahagia,biarkan lah para fakir pin sesekali berbahagia,biarkan lah para fakir pin sesekali berbahagia,biarkan lah fakir pin sesekali berbahagia,"['biarkan', 'lah', 'fakir', 'pin', 'sesekali', 'berbahagia']",biar lah fakir pin sekal berbahagia,6,biar lah fakir pin sekal berbahagia,Positif,Medium,Auto
27,Nah loh,nah loh,nah loh,nah loh,nah loh,nah loh,"['nah', 'loh']",nah loh,2,nah loh,Netral,Low,Auto
29,yee caper lu,ye caper lu,ye caper kamu,ye caper kamu,ye caper kamu,ye caper kamu,"['ye', 'caper', 'kamu']",ye caper kamu,3,ye caper kamu,Negatif,Medium,Auto
30,"Betul juga bukan dia
Tapi tim nya",betul juga bukan dia tapi tim nya,betul juga bukan dia tetapi tim nya,betul juga bukan dia tetapi tim nya,betul juga bukan dia tetapi tim nya,betul bukan tetapi tim nya,"['betul', 'bukan', 'tetapi', 'tim', 'nya']",betul bukan tetapi tim nya,5,betul bukan tetapi tim nya,Positif,Medium,Auto
31,Di pin karena video youtube ni anak isinya contentnya POKEMON !,di pin karena video youtube ni anak isinya contentnya pokemon,di pin karena video youtube ni anak isinya contentnya pokemon,di pin karena video youtube ni anak isinya contentnya pokemon,di pin karena video youtube ni anak isinya contentnya pokemon,pin video youtube ni anak isinya contentnya pokemon,"['pin', 'video', 'youtube', 'ni', 'anak', 'isinya', 'contentnya', 'pokemon']",pin video youtube ni anak isi contentnya pokemon,8,pin video youtube ni anak isi contentnya pokemon,Positif,Medium,Auto
32,Ngemis bet om,ngemis bet om,ngemis bet om,ngemis bet om,ngemis bet om,ngemis bet om,"['ngemis', 'bet', 'om']",ngemis bet om,3,ngemis bet om,Netral,Low,Auto
33,Di pin buat di katain 😆😆,di pin buat di katain,di pin buat di katain,di pin buat di katain,di pin buat di katain,pin buat katain,"['pin', 'buat', 'katain']",pin buat katain,3,pin buat katain,Negatif,Medium,Auto
34,rasain lu ! emang enak dipin ?,rasain lu emang enak dipin,rasain kamu memang enak dipin,rasain kamu memang enak dipin,rasain kamu memang enak dipin,rasain kamu memang enak dipin,"['rasain', 'kamu', 'memang', 'enak', 'dipin']",rasain kamu memang enak pin,5,rasain kamu memang enak pin,Netral,Medium,Auto
35,"Plot twist :  yg pin itu Admin Yutub Radit , bukan Bang Radit 🤣🤣",plot twist yg pin itu admin yutub radit bukan bang radit,plot twist yang pin itu admin yutub radit bukan bang radit,plot twist yang pin itu admin yutub radit bukan bang radit,plot twist yang pin itu admin yutub radit adik radit,plot twist pin admin yutub radit adik radit,"['plot', 'twist', 'pin', 'admin', 'yutub', 'radit', 'adik', 'radit']",plot twist pin admin yutub radit adik radit,8,plot twist pin admin yutub radit adik radit,Netral,Low,Auto
36,yang ngepinned juga admin nyaa,yang ngepinned juga admin nya,yang ngepinned juga admin nya,yang ngepinned juga admin nya,yang ngepinned juga admin nya,ngepinned admin nya,"['ngepinned', 'admin', 'nya']",ngepinned admin nya,3,ngepinned admin nya,Negatif,Medium,Auto
37,Anjirrrr,anjir,anjir,anjir,anjir,anjir,['anjir'],anjir,1,anjir,Netral,Low,Auto
38,Cieh di pin😂,cieh di pin,cieh di pin,cieh di pin,cieh di pin,cieh pin,"['cieh', 'pin']",cieh pin,2,cieh pin,Netral,Low,Auto
39,"Kalo di Pin terus apa? Dapet duit? Plis kasih tau gua dong, gua pengen banget di Pin besok",kalo di pin terus apa dapet duit plis kasih tau gua dong gua pengen banget di pin besok,kalau di pin terus apa dapet duit plis kasih tau saya dong saya pengen banget di pin besok,kalau di pin terus apa dapet duit plis kasih tau saya dong saya pengen banget di pin besok,kalau di pin terus apa dapet duit plis kasih tau saya dong saya pengen banget di pin besok,kalau pin terus apa dapet duit plis kasih tau dong pengen banget pin besok,"['kalau', 'pin', 'terus', 'apa', 'dapet', 'duit', 'plis', 'kasih', 'tau', 'dong', 'pengen', 'banget', 'pin', 'besok']",kalau pin terus apa dapet duit plis kasih tau dong ken banget pin besok,14,kalau pin terus apa dapet duit plis kasih tau dong ken banget pin besok,Positif,Medium,Auto
40,dan usahanya berhasil,dan usahanya berhasil,dan usahanya berhasil,dan usahanya berhasil,dan usahanya berhasil,usahanya berhasil,"['usahanya', 'berhasil']",usaha berhasil,2,usaha berhasil,Netral,Medium,Auto
41,nah loh bang tuh di pin😂,nah loh bang tuh di pin,nah loh bang tuh di pin,nah loh bang tuh di pin,nah loh bang tuh di pin,nah loh bang tuh pin,"['nah', 'loh', 'bang', 'tuh', 'pin']",nah loh bang tuh pin,5,nah loh bang tuh pin,Netral,Low,Auto
42,Sh*t he pinned it,sht he pinned it,sht he pinned it,sialnya dia menyematkannya,sialnya dia menyematkannya,sialnya menyematkannya,"['sialnya', 'menyematkannya']",sial semat,2,sial semat,Negatif,High,Auto
43,Jail bgt sih timnya wkwkw,jail bgt sih timnya wkwkw,jail banget sih timnya wkwkw,jail banget sih timnya wkwkw,jail banget sih timnya wkwkw,jail banget sih timnya wkwkw,"['jail', 'banget', 'sih', 'timnya', 'wkwkw']",jail banget sih tim wkwkw,5,jail banget sih tim wkwkw,Negatif,Medium,Auto
44,"hayo lo di pin, minta maaf lu",hayo lo di pin minta maaf lu,hayo kamu di pin minta maaf kamu,hayo kamu di pin minta maaf kamu,hayo kamu di pin minta maaf kamu,hayo kamu pin minta maaf kamu,"['hayo', 'kamu', 'pin', 'minta', 'maaf', 'kamu']",hayo kamu pin minta maaf kamu,6,hayo kamu pin minta maaf kamu,Positif,High,Auto
45,Yang pin comment juga karyawan nya 😂,yang pin comment juga karyawan nya,yang pin comment juga karyawan nya,yang pin comment juga karyawan nya,yang pin comment juga karyawan nya,pin comment karyawan nya,"['pin', 'comment', 'karyawan', 'nya']",pin comment karyawan nya,4,pin comment karyawan nya,Netral,Low,Auto
46,HAYOOOO LOOO BANGG DI PIN AMA BANG DIKAAA🙂‍↔️,hayo lo bang di pin ama bang dika‍↔,hayo kamu bang di pin ama bang dika‍↔,hayo kamu bang di pin ama bang dika‍↔,hayo kamu bang di pin ama bang dika‍↔,hayo kamu bang pin ama bang dika‍↔,"['hayo', 'kamu', 'bang', 'pin', 'ama', 'bang', 'dika\u200d↔']",hayo kamu bang pin ama bang dika,7,hayo kamu bang pin ama bang dika,Positif,Medium,Auto
47,Apa salah orang yang di pin ini sampai di hujat hujat,apa salah orang yang di pin ini sampai di hujat hujat,apa salah orang yang di pin ini sampai di hujat hujat,apa salah orang yang di pin ini sampai di hujat hujat,apa salah orang yang di pin ini sampai di hujat hujat,apa salah orang pin sampai di hujat hujat,"['apa', 'salah', 'orang', 'pin', 'sampai', 'di', 'hujat', 'hujat']",apa salah orang pin sampai di hujat hujat,8,apa salah orang pin sampai di hujat hujat,Negatif,Medium,Auto
48,Tentu saja yg ngepin editor/ admin bukan bang Radit,tentu saja yg ngepin editor admin bukan bang radit,tentu saja yang ngepin editor admin bukan bang radit,tentu saja yang ngepin editor admin bukan bang radit,tentu saja yang ngepin editor admin adik radit,saja ngepin editor admin adik radit,"['saja', 'ngepin', 'editor', 'admin', 'adik', 'radit']",saja ngepin editor admin adik radit,6,saja ngepin editor admin adik radit,Negatif,Medium,Auto
49,Mampus di Pin 😅,mampus di pin,mampus di pin,mampus di pin,mampus di pin,mampus pin,"['mampus', 'pin']",mampus pin,2,mampus pin,Netral,Medium,Auto
52,41:43 4 41:44 1:43 f 41:46 😊 41:48 41:49 u 41:50 41:52 y😊h 41:58 hx,f u yh hx,f kamu yh hx,f kamu yh hx,f kamu yh hx,f kamu yh hx,"['f', 'kamu', 'yh', 'hx']",f kamu yh hx,4,f kamu yh hx,Netral,Low,Auto
53,"​@acehkhan  iyaa.. gokil sih, lebih dari 1 dekade",​ iya gokil sih lebih dari dekade,​ iya gokil sih lebih dari dekade,​ iya gokil sih lebih dari dekade,​ iya gokil sih lebih dari dekade,​ iya gokil sih lebih dekade,"['\u200b', 'iya', 'gokil', 'sih', 'lebih', 'dekade']", iya gokil sih lebih dekade,6,iya gokil sih lebih dekade,Positif,Medium,Auto
54,​@acehkhansepuhan elu bang,​ elu bang,​ kamu bang,​ kamu bang,​ kamu bang,​ kamu bang,"['\u200b', 'kamu', 'bang']", kamu bang,3,kamu bang,Netral,Low,Auto
56,Si penting 😂,si penting,si penting,si penting,si penting,si penting,"['si', 'penting']",si penting,2,si penting,Positif,Medium,Auto
57,mampua,mampua,mampua,mampua,mampua,mampua,['mampua'],mampua,1,mampua,Positif,Medium,Auto
58,Mana mungkin seorang Bang Raditya Dika pin comment ini,mana mungkin seorang bang raditya dika pin comment ini,mana mungkin seorang bang raditya dika pin comment ini,mana mungkin seorang bang raditya dika pin comment ini,mana mungkin seorang bang raditya dika pin comment ini,mana mungkin seorang bang raditya dika pin comment,"['mana', 'mungkin', 'seorang', 'bang', 'raditya', 'dika', 'pin', 'comment']",mana mungkin orang bang raditya dika pin comment,8,mana mungkin orang bang raditya dika pin comment,Netral,Low,Auto
59,ah paling yg ngepin tyo,ah paling yg ngepin tyo,ah paling yang ngepin tyo,ah paling yang ngepin tyo,ah paling yang ngepin tyo,ah paling ngepin tyo,"['ah', 'paling', 'ngepin', 'tyo']",ah paling ngepin tyo,4,ah paling ngepin tyo,Negatif,Medium,Auto
60,kerjaan fadil ini,kerjaan fadil ini,kerjaan fadil ini,kerjaan fadil ini,kerjaan fadil ini,kerjaan fadil,"['kerjaan', 'fadil']",kerja fadil,2,kerja fadil,Positif,Medium,Auto
61,strike 🎣🎣🎣,strike,strike,strike,strike,strike,['strike'],strike,1,strike,Netral,Low,Auto
62,​@ahlunnazar6002umur akunku  masih belum bisa dapet KTP kok 😝,​ akunku masih belum bisa dapet ktp kok,​ akunku masih belum boleh dapet ktp kok,​ akunku masih belum boleh dapet ktp kok,​ akunku masih belum boleh dapet ktp kok,​ akunku belum dapet ktp kok,"['\u200b', 'akunku', 'belum', 'dapet', 'ktp', 'kok']", akun belum dapet ktp kok,6,akun belum dapet ktp kok,Netral,Medium,Auto
63,Buset 17 tahun bang ​@acehkhan,buset tahun bang ​,buset tahun bang ​,buset tahun bang ​,buset tahun bang ​,buset tahun bang ​,"['buset', 'tahun', 'bang', '\u200b']",buset tahun bang ,4,buset tahun bang,Positif,Medium,Auto
64,kru,kru,kru,kru,kru,kru,['kru'],kru,1,kru,Netral,Low,Auto
65,For real 😂,for real,for real,sebenarnya,sebenarnya,sebenarnya,['sebenarnya'],benar,1,benar,Positif,Medium,Auto
66,hayolo bang,hayolo bang,hayolo bang,hayolo bang,hayolo bang,hayolo bang,"['hayolo', 'bang']",hayolo bang,2,hayolo bang,Positif,Medium,Auto
67,Mampus 😂,mampus,mampus,mampus,mampus,mampus,['mampus'],mampus,1,mampus,Netral,Medium,Auto
