negationHandled,sentiment
kita semua sangat berterimakasih jika pk raymond yang merupakan seorang praktisi ekonomi khusus nya ekonomi berbasis digital ikut serta dalam mengawasi memberikan masukan yang bermanfaat kepada pemerintah agar betul langkah yang berakibat fatal untuk kebangkitan ekonomi negara semoga ekonomi indonesia bangkit seluruh masyarakat makmur sejahtera amiin,Positif
samaswkali ngak afa gunanya danantarasama saja uang di pindahin dari bumn masuk ke danantara,Positif
bosman mardigu pernah bilang ide seperti ini kenapa mardigu keluar jadi orang penting di danantara,Netral
setaip investatasi hasilnya tiap tahun berapa persen untuk ceo nya,Netral
investor manca negara sampai ujung dunia kapan di mulai untuk tali persaudaraan dlm mitra kerja antar negara,Positif
danantara investasi para ceo hebat tetapi harus ikuti arus lalulintas negara agar berjalan sepanjang masa uang beku di alirkan lewat negara pemerintah indonesia,Positif
kenapa banyak multiple jabatan,Positif
uargh menyala nyala pidato proborowborow,Netral
keren bang ray,Positif
selama diisi oleh jkw smi sby luhut dan maling danantara masuk perangkap cia dan gagal,Negatif
kalau pertaruhannya besar daripada ditaro danantara mending bitcoin saja tidak sih,Negatif
bagus itusemuanya tidak boleh gagalmau syatem apa kekmau gaya apa kekbiar bagaimana juga mrk penguasabebas itu justru lebih baikbiar negri ini cepat bubar,Positif
jadi koruptor di indonesia enak juga iya penjara tenang berfasilitas lengkap kalau dinegara lain sudah diarak keliling kota dan dihukum mati sebagai contoh iya mungkin terlihat kejam sihtapi bila memang itu yang harus dilakukan demi negara yang menyangkut ratusan juta jiwa rakyatnyaya kehilangan atau orang yang positif korupsi tidak masalah sih daripada dibiarkan dan membuat bibit baru malah boleh jadi berkali lipat bila tidak diberantas mulai sekarang maaf saya ini hanya berkomentar sebagai orang bodoh saja,Negatif
kenapa tidak beli btc saja buat investasi atau kalau mau lebih bagus iya negara mendidik para pelajar untuk memberi ilmu yang ada di era sekarang misal para pelajar diberi ilmu tentang ai bisnis dan juga ekonomi kan jauh lebih worth it daripada invest yang tidak jelas dan gelap,Netral
pemerintahan nya dholim kontra rakyat rakyat harus menanggung hutang negara sampai bapak jual rakyat k orang asing dengan dalil kesehatan padahal itu bahaya bagi jiwa rakyat bapak harusnya melindungi rakyatnya jangn berpecah,Negatif
guinea baru,Netral
timoertimur,Netral
was was takut di korupsi,Negatif
bang reymond selalu menjadi favoritku,Positif
ambil alih gojek sebelum diakuisisi grab selamatkan rakyat indonesia benahi managemen gojek selama ini pemerintah belum mampu membuka lapangan pekerjaan untuk itulah gojek sbg karya anak bangsa harus segera diselamatkan mitra yang kini jumlahnya sampai jutaan orang butuh pendapatan yang wajar dan sesuai dengan regulasi yang ada,Positif
ibarat pisau bermata dua perlu kehatihatian semoga tetap amanah aamiin,Positif
kuncinya ada di sdm nya khususnya orang yang terlibat langsung di pengelolaan danantara,Netral
pertamina yang bawa nama erick tohir skr sudah tenggelem iya,Negatif
tetapi kalau sampai gagal kembali lagi itu uang panas karena pertanggungjawabannya besar uangnya bank yang harusnya kembali ke nasabah uangnya perusahaan bumn yang dimiliki oleh investor kalau sampai gagal boleh krisis jilid,Negatif
intinya dan pemahaman kami sebagai masyarakat sejahtera poin besar yang kami inginkan adalah pendidikan gratis rumah sakit gratis buka lapangan pekerjaan merata pajak harus gratis itulah konsep indonesia maju kalau masih bayar pajak mah pak sama saja kita masih seperti numpang di negara orang lagi pula bayar pajak dalam hukum agama islam tidak di perbolehkan pak bumi milik allah seharusnya dari pada kita harus bayar pajak mending bikin sistem baru uangnya membikin sarana kematian jadi kalau ada kematian bantu uangnya dari pemerintah khusus bagi masyarakat kecil atau keluarga yang kecil yang hanya atau tiga bersaudara yang berhak menerimanya atau lapangan pekerjaan lah pak itu se kunci indonesia maju itu hanya lapangan pekerjaan soalnya kalau masyarakat semua ini punya gajih cukup punya pekerjaan punya kesibukan saya yakin itu juga mengurangan angka kriminalitas saya yakin itu coba deh data seberpa juta penduduk masyarakat yang punya ktp yang usia cukup untuk bekerja data mereka ada berapa juta yang masih nganggur dan kerjaan apa yang paling tepat dengan orang tersebut sesuai skil dan kemampuan masing bikin sistem pekerjaannya kalau boleh ngelas iya ngelas kalau boleh bengkel iya bengkel kalau boleh bangunan iya bangunan kalau jasa iya jasa tetapi semua usaha pekerjaan itu punya pemerintah pemerintah yang ngehendel nanti kan ke uangan dan ke untungannya juga masuk juga ke dana dargantara masyarakat tenang masyarakat senang masyarakat bahagia dan indonesiapun akan sejahtera uangnya muter di negara terus apa enggk enak tuh solusi seperti itu,Positif
saya optimis dengan komitmen pak prabowo dlm memajukan indonesia salah satunya dengan danantara karena pak prabowo adalah orang yang cenderung ke ekonomi sosialis nasionalis bukan orang yang berhaluan kapitalis liberalis,Negatif
danantara hanya untuk modal prabowo jokowi dan kroninya,Negatif
saya tadi sempat menyimak kalimat rajin baca buku pertanyaanya bagaiamana masyarkat khusus nya anak” muda boleh menghilangkan ketergantungan scrol gadget solusinya seperti apa ini inspirasi dari abad ke dimana peradaban d wilayah irak penuh dengan ilmuwan yang boleh di bilang kiblatnya para ilmuwan salah satu kuncinya adalah pembangunan perpustakaan yang didesain semenarik munkin agar masyarkat tertarik atau menambah minat untuk membaca keren dengan itu indonesia boleh keluar dari berbagai masalah ekonomi,Netral
ru perampasan aset atau hukuman mati adalah kunci keberhasilan,Negatif
intinya kemajuan akan didapatkan asal praktik korupsi di segala bidang dapat dienyahkan,Negatif
hanya ada ending sukses indonesia maju gagal indonesia suram kita sebagai warga negara hanya boleh banyak banyak berdoa untuk negri tercinta,Netral
yang dudukdi sana juga ada yang apa iya,Netral
iya,Netral
rakyat sudah sering di hianati jadi danantara munkin lahan korupsi baru,Negatif
investasi itu mudah masuk yang susah itu birokrasinya sama menjaga lingkungannya,Positif
sedangkan dpr tergantung keputusan ketua partai,Negatif
hati hati korupnya kegedean,Netral
susunan formasi yang gila,Negatif
keren bang kebanyakan penyakit warga indonesia belum apa sudah digoreng dicaci sana sini dan diremehkan abangnya bener objektif menjelaskan peluang dan kehancuran opsi ini,Negatif
alam bumi nusantara sangat seperti raya dan itu cukup untuk modal kemakmuran rakyat why kog cari modal baru apakah modal alam itu sudah di kuasai oknum tertentukog sampek cari modal virtual lain yang frigid bagaimana kredible pengurus di dalamnya dr track recordnya kog pengawas nya dr parpol dan hanya parpol apakah next aturan pemilu hanya max parpol lumayan mengurangi biaya pilu warganetizen juga manusia pleasseeeebuat para ngurus danantara jika maaih punya hati manusiakan warga,Netral
akibat nya ditimbang akibatnya bencana dimana tiap eso palu dongalah,Netral
bg pemikiran mu good untuk indonesia maju,Positif
good ini tempat diskusi gimna caranya dapat jt pertama,Netral
dengn karkter orang di bangsa ini saya ragu-ragu,Negatif
kesannya seperti dipaksakan iya ini danantara harus sekarang dibuat,Negatif
jika pendidikan itu baiktidak mungkin ada tempat kursus di luar jam sekolah pasti ada mafianya,Positif
mantap gebrakan pak prabowo dan harus transparan iya pak,Positif
memang the terbaik sudah kalau kek gini auto jadi sultan,Positif
koruptor dbasmi dlujd kalau bahas bisnis dana dulu yang brkaitan dengan uang bakal lebih an dan lebih memungkinkan menarik kepercayaan dan optimisme,Positif
bang raymond kamu berharap agar mereka amah sayapun semua orangpun sama tetapi selama para koruptor masih bernyawa dan anggota dpr yang selalu membuat kamu untuk keperluan mereka pribadi dan selalu menghambat kamu perampasan aset atau hukuman mati untuk para koruptor maka harapan itu hanya faktanya demikian tetapi jika memang tujuannya untuk kesejahteraan seluruh rakyat siapa yang tidak setuju tetapi paling tidak yang harus jelas di perlihatkan adalah transparansi jika tertutup itu hanya akan jadi bahan untuk kerakusan mereka yang khianat,Negatif
aamiin,Netral
islam danantara,Netral
ada fakta yang salah pasal imdb,Negatif
tidak boleh gagal tetapi jokodok dan kroninya dilindungi kemenkeu tppu pln pertamina ini bukti kebocoran uang negara,Negatif
kembali ke sini bertahun-tahun setelah saya pertama kali melihat videonya saya baru menyadari betapa banyak yang telah saya pelajari. Saya sangat berterima kasih atas saluran Anda setiap tutorial yang bagus,Positif
bang gabung ama malaka,Negatif
sumber dana danantara sebagai super holding boleh di create dari rakyat yang berkemampuan pengusaha besar dengan catatan harus bentuk badan usaha persero ketidak nyamanan investor sumber dana awal di collect dr deviden bumn yang seharusnya masuk dlm postur apbn shg berpotensi penyelewengan oleh executive notabene pejabat pemerintah ex pejabat pengurus parpol ex presiden ri presiden ri saat ini pasar modal investor butuh kepercayaan dukungan yang riil di lapangan bukan lembaga keuangan baru swf era bp jokowi sudah dibentuk ina kenapa tidak dioptimalkan,Positif
danantara ini program pengorbanan diri mereka kepada indonesia khususnya rakyat indonesia yang menjalankan harus bener konsen dengan itu apakah mereka yang menjalankan mampu berkorban setidaknya mengambil secuil keuntungan saja untuk mengisi perut bukan untuk memperkaya rayakan diri,Negatif
sya cuma berdoa agar progam ini boleh memajukan masyarakat indonesai,Positif
danantara investasi dari negara untuk talang kerugian perusahaan pribadi pejabat yang kalau nanti collabs perusahaan pribadinya boleh di suntik dari dana danantara mudahmudahan salah cara tafsir saya,Negatif
saya salut sama saudaraku raymon chinpengamatan yang penuh realitas dlm setiap konten menandakan anda cinta pada negara ini dan itu sama dengan anda peduli ke saudara anda seluruh rakyat indonesiasalam dari lombok barat saudaraku,Positif
salut sama on time terus,Positif
saya berpesan kalau besok waktu pencoblosan pemilu pilkada dan lain jangan mencoblos pdip trima kasih,Positif
stop mapiah di th ke depan rakyat ingin merdeka aamiin,Netral
raymond apa nama pabrik semikonduktor yang ada di indonesia tersebut,Netral
danantara berbagi kue terbesar untuk para pejabat,Positif
terima kasih bang,Positif
perbaiki hukum indo yang pincang dan berpihak pada koruptor,Negatif
smoga danantara bukan jadi sarang korupsi gaya baru,Negatif
seperti pisau bermata dua tinggal siapa yang memegang boleh untuk memasak dan bermanfaat tetapi boleh untuk menusuk dan membunuh bagi penjahat,Negatif
tanda tanya besar kenapa jadi ada pak joko pesimis kalau masih di bawah kendali pakde,Positif
memang harus transparan sih dananatara ini ini nilainya sudah gedek banget kalau memang sampek di korup lagi sudah tidak tau indonesia bakal jadi apa kalau kata pak gusdur indonesia kelebihan orang pinter، hanya hal nya kekurangan orang jujur,Netral
kita liat saja nanti,Netral
mo jadi cerdas dan antusias nontonin kamu bang tetapi iklan saya malah donasi penghapal alquran wkwkwk sktika saya ketawa,Positif
saja yang bikin betah dari pada yang lain,Netral
banyaknya media yang munculsaya pribadi menjadi terombang ambing dengan informasi yang beredar dengan videomu bang sedikit membawa pencerahan bahwa setiap pemimpin negara pasti ada kelebihan dan kelemahan banyaknya ketidakpercayaan rakyat pada pemerintah karena ulah beberapa okmum dari menteri atau dpr mungkin yang kontra rakyat lagi semoga presiden kita boleh mematahkan asumsi negatif rakyat dan membawa indonesia lebih bersinar lagi itu juga harapanku bang,Negatif
memang paling ngeri sudah kalau ini nyaman terus,Positif
hahahaabumn saja tidak beres sebelum danantara bumn saja deh di bener in dulu biar banyak gaya bullshit,Positif
baru di menit sudah ada boscuan mudah pecah,Positif
kalau dipegang kang mul boleh boleh dipake untuk mohon presiden untuk kawal betul,Positif
menurut saya apa yang sudah kamu lakukan sudah baik belajar dan menerima kesalahan memberikan ilmu dan ide dalam posisi yang netral memang berat tetapi saya yakin kamu boleh menghadapinya bang raymond semangat,Positif
oke,Positif
stm saja ada art rups danantara lamgsung launching terbangkelangitmerocket,Negatif
kalau danantara hanya bank data tempat pelaporan diterima akal namun jika danantara berperan sebagai bank penyimpanan uang centre of moneydana dari danantara gucur ke apbn untuk apa lagi ada departemen apbnmenteri langsung saja kucurkan ke kontraktor kan handle hilirisasi dulu sekalian saja danantara handle reksa dana dunia gambling mungkin di tangan orang orang pintar yang ada di danantara boleh lepas dari para pemikir harus mampukan baru daftar ke brics,Negatif
ada systim harus ada prosedur mn mannual mutu mana manajemen mutunya ik instruksi kerjanya soalnya tbk tentu harus boleh diikuti warga bebas beri saran mudah mudahan sukses kalau sebaliknya malulahdan perekonomian ri akan hancur under line bebas diikuti di check oleh siapa pun tlg diperlihatkan systim dan prosedur krjnya kpd rakyat rijgn hanya visi misi doang,Negatif
trasparansi awal boleh lah pertengangan rahasia nengara,Netral
semuga allah nerestui dan sejalur perancangan allahsemuga umur panjang yang berkah,Netral
kalau hanya prabowo mungkin boleh tetapi kalau dibayangi sby sri joko pasti tarik ulur politik untuk mengunci kekuasaan,Netral
sulit dipercaya selama korupsi masih di berdayakan,Negatif
pengen banget yakin tetapi kembali lagi track recordnya,Netral
bagīmana mungkīn tīdak gagal wong banyak exkoruptor mantan tīkus² berdasī dīdalamnya sangat mustahīl kalau tīdak gagal,Negatif
kalau danantara berhasil kita hanya memiliki saham dong kita sendiri tidak kemana² juga kalau kita tidak kemana² nilai rupiah semakin turun sama saja dong bang,Negatif
kita tidak akan mengemis tetapi faktanya memeras rakyat sendiri sampai hotel om saya bangkrut beberapa tempat pariwisata bangkrut wkwkwk sehat sehat deh kamu wo kalau mati pengganti kamu gibran soalnya,Negatif
danantara adalah uang negara yang dikumpulkan untuk memajukan masyarakat cuma masalahnya harus tepat dan momentumnya harus tepat kalau gagal siap negara ini mungkin boleh bangkrut saya berdoa mudahn usaha negara berhasil dan kita boleh maju bersama,Positif
tadi liat sepulang sekolah dan infonya taksin jadi penasihat danantara kalau seperti gini masih oke tidak sih beli obligasi,Positif
teori danantara bagus tetapi ragu-ragu dengan pejabatnya bagaimana mau yakin undang² saja mereka atur sedemikian rupa untuk kepentingannya,Positif
smoga indonesia boleh maju tanpa korupsi,Netral
kalau pemerintah berat untuk mengesah kn kamu hukuman mati bagi koruptor setidakny beri jangka waktu bulan para koruptor mengakuin nyjgn di hukum cuma suruh kembalikan uang ny ajahsetelah jangka waktu habis kamu hukuman mati harus di terapkn jika ketahun masih saja ad korupsiharus hukum matisy rasa ini lebih manusiawi karena d beri kesempatan dulu,Negatif
bakal jadi kasus korupsi terbeesar ini pasti,Negatif
sebagai rakyat malaysia yang mendapat mdb itu adalah mimpi buruk dan bencana untuk kami moga warga negara indonesia berjaya dunia dan akhirat,Negatif
kita dari awal saja sudah tidak percaya sama danantara ini bakal jadi sejarah korupsi terbessr di indonesia let se,Negatif
hm,Netral
nasionalismemu luar biasa bang bangsa membutuhkan orang orang seperti ini untuk mencerahkan bukan seperti yang lain yang hanya menjelekkan dan memperburuk keadaan terima kasih bang,Netral
seseorang bijaksana ketika dipertemukan dengan seseorang yang meminta makanan bukan hanya akan memberikan ikan akan tetapi memberikan pancingan dan alat untuk dia mencari ikan makan gratis alangkah dikesampingkan dan fokus pengelolaan baik dan benar di danantara ketika hal tersebut settle boleh memberikan makan berupa lapangan kerja bagi orangorang dari situ anakanak akan makan bergizi juga di tiap keluarga nya,Positif
auto pindahin saldo dari mandiri kabuuuuur,Netral
sektor pendidikan sedang d dobrak oleh broron semangat,Netral
selama tidak ada ru perampasan aset dan track record maraknya kasus korupsi di indonesia mohon maaf semoga tidak menjadi seperti yang terjadi di negara tetangga nice video bang anw,Negatif
mak yang awam seperti saya menganggapa ini mah wadah korupsi sebesarnya keren kebal hukum money laundry tggal pilih seleb nntinyacmiiw,Netral
tidak setuju mbg keren itu tidak efektif karena kt dr tifa nnti dagingnya diksih yang sintetismsuk dlm jebakan global again,Positif
pernah dngar dulu ini dari bos sontoloyo so undang mwp donk apkah ini fase tina,Negatif
kamu ngomongnya super cepat bgtsmartnya kliatan yang dtggu setelah chanel om roger trims iya sudah bahas ini,Netral
keren,Positif
selama kita terjebak dalam fanatisme berlebihan selain itu masih banyak yang bermental bansos serta tidak ada hukuman mati buat koruptor jangan pernah berharap indonesia maju,Negatif
keren banget penyampaian materi dan visual editing videonya,Positif
transparan tetapi bpk tidak boleh masuk,Netral
dengan bpk dan kpk tidak boleh mengawasi sudahlah jangan berharap danantara ini bakal jujur dan transparan keserakah orang di dalamnya saja sudah terlihat sebaiknya tarik dana dana kalian di mandiri bri bni berani tetapi jaga karena endingnya rakyatlah yang menanggung kegagalan dr projek pemerintah,Positif
harusnya sah kan dulu kamu perampasan harta dan aset koruptor baru kita sebagai masyarakat boleh ada trust ke danantara,Negatif
semangathebat kosemoga sesuai harapan,Positif
jangan sampai investasinya buat ke ikn,Negatif
daging semua pembahasannya mantap,Positif
hurra,Netral
keren itu simple,Positif
memang mntep sudah bikin setiap hari tetap setia saja nih,Negatif
saya berharap danantara suksestapi kenapa harus ada joko,Positif
yakin hr nya indihe coba track recordnya,Netral
danantara itu apa iya enerji masa depan apakah tidak ada lagi orang indonesia yang pintar selain pengurus yang telahnpunya jabatan apakah harus mereka mereka saja yang bagi bagi uang negara ini sementata pengangguran orang berpensisikan banyak sekali,Netral
keren ko,Positif
berani bersuara untuk kebaikan negara merupakan kewajiban,Positif
mengelola kesejahteraan awali dengan resolusi tata akhlak dan moral dari tingkat terendah hingga ke atas disegala lini karena bila selama itu berantakan pastinya keserakahanketamakankesombongan akan membuat cacatmelukai kesejahteraaan itu sendiri,Negatif
harus ada persekongkolan jahat negri ini,Negatif
setiap masyarakat harus mengawal dan boleh mengaudit danantara supaya tidak boleh di korup pinpinan harus transparan nkri harga mati,Netral
amiin bang,Netral
jangan sampai ini danantara masuk ke liga korupsi bakalan langsung mengejar skor itu,Negatif
trm ksh koh ats pencerahannya semoga masukan pemikiran dari orang pintar spt ini jadi bahan pertimbangan buat penguasa,Positif
danantara masih banyak trust issued takut di korupsi kecuali perampasan aset dan hukuman m koruptor ada,Negatif
mantap mantap mantap sengkyu mas,Positif
buat yang bener tau boleh seberbahaya apa danantara tidak akan lagi hehe haha tetapi bakalan pindah aset ke emas dan kabur keluar negri,Negatif
semoga berhasil,Positif
pemerintahnegara terlalu sibuk berbisnis dengan rakyatnya lupa berbisnis dengan negara lain,Negatif
apresiasi sebesarbesarnya untuk video ini dan semoga surat terbuka ini dapat tersampaikan dengan baik dan dapat terlaksana dengan baik pula aamiin,Positif
jangan ini endorsemen,Netral
standard ganda warga indo di anggap benar bukan karena benar tetapi karena sepemikiran ketika kamu tidak sepemikiran kamu akan selalu dianggap salah walau benar,Negatif
orang orangnya itu saja,Netral
danantara itu bisnis hitam nya gerombolan gerindra yang belum bisa di audit,Negatif
gagiasannya bagus tetapi selama politisasikepastian hukum msh berlangsung dan komitmen pemberatasan korupsi tidak sungguh maka kita tidak boleh berharap banyak di awal saja investasi uang negara ke danantara sudah menimbukan goncangan ekonomi yang hebat dengan murunnya ihsg yang tajam dan melemahnya rupiah trhdp us dollar butuh effort yang luar biasa untuk kembalikan trust pasar,Positif
indonesia raya keren konten kreatif tidak bosenin nntn dan pesannya gampang di tangkap,Positif
yang bikin ngeri untuk kepentingan ambisi buta pejabat,Negatif
pak prabowo buka hub diplomatik dengan israel supaya investor israel masuk,Netral
intinya indonesia itu point nya korupsi dan pungli selama harta pejabat dan penguasa sektor pemerintah tidak ada oembuktian harta terbalik percuma,Negatif
masih ada pemain lama yang ikut program jadi ragu-ragu,Negatif
problemnya itu bukan danantaranya tetapi trust,Negatif
kaget nanti juga korupsi triliun,Negatif
yakin dengan oknum konoha tidak di korup,Positif
reputasi pak prabowopak jokowidan pak sbyjadi taruhan atas danantarajadi seya yakin mereka boleh menjagsnya demi cita cita bangsa,Positif
semoga mereka amanah,Positif
menuju indonesia cemas siapa yang akan disalahkan kalau danantara tidak sesuai ekspetasi sungguh sangat riskan,Negatif
good governance preet,Netral
danantara hanya menjadi copium untuk masyarakat awam kalau isinya koruptor lagi apa beda nya uang seluruh indonesia di jadikan satu setelah itu oknum elit di indonesia kabur mengambil semua dana tsb membuat indonesia bangkrut lalu di jual ke negara tetangga,Negatif
presiden prabowomerah putihtrs berjiangtrs bergeraksing ngganggu perjuangan nggeblaksirnoiku otomatis,Negatif
ini seperti sosialisasi pesanan,Negatif
omonomon kali pun,Netral
saya kasi ilustrasi sederhana apakah wise iya rumah tangga wowo mengalami kekurangan penghasilan defisit lalu memutuskan untuk investasi saham disisi lain punya utang besar nominal melebihi penghasilian tahunan yang akan jatuh tempo tiap tahun silakan dijawab jawabannya boleh ditebak dengan secara terpaksa mau enggan wowo harus penghematan rumah tangga anggaran produktivitas wowo dan istri dan akan menurun karena penghematan pertumbuhan gdp anak wowo akan kekurangan makan tingkat kemakmuran sekolah anak wowo mungkin yang murahan saja iya pendidikan atap rumah bocor ditunda perbaikannya infrastruktur klimaknya iya ujung ujungnya debt kolektor datang wowo harus jual aset motor rumah kulkas dulu lunas deh investasinya bagaiamana nyungsep btw skenario boleh berubah kecuali wowo cutlos investasi saham ditengah jalan jadi menurut anda bagaimana apakah cutlos itu baik atau tidak,Positif
harusnya bosman masuk,Negatif
keren bg,Positif
ingat indonesia mayoritas islam minoritas komunis atau pki islam harus melihat sumber uang halal atau haram,Negatif
mantap,Positif
miris ketika pendidikan dn kesehatan tidak menjadi fokus utama dan ane sudah dri bbrpa tahun terakhir ketika menggalakan mobil listrik speda listrik atau istlh kerennya energi terbarukan lewat artis youtuber dulu sudah menduga ada gerakan baru dan iya orang itu tu ada di jajaran dari danantara sendiri ujungnya hilirisasi energi ttap brharap pada listrik yang bersumber dri batu bara dan yang sya liat hnpir rta orang sudah punya spedea listrik bhkan untuk di desa aplgi di perkotaan konsumsi listrik psti lbih besar dbandingkn dulu iya ujungnya gitu saja lingkaran setan berjalan kesan bisnis ekploitasinya mkin waw tambang untuk bhan mentah batrai energinya meningkkat batubaranya pun meninggkat aku jadi mereka weeeh cuan terus nih selama listrik yang ada msih ngandalin batu bara iya gitu saja terus mau dirombak listrik pake tenaga apa dananya drimana proyek lagi waaaw cuan lagi hrpannya iya sikit kita yang rkyt jelata ini boleh ikut andil lah kecipratan megaproyeknya,Positif
danantara bikin pabrik pengolan sampah ibukota yang ada di bekasi agar tenaga kerja yang ada disana dapat pekerjaan legal,Positif
negara devisit ko inves,Netral
saya setuju sama usulan mu bang ayo masyarakat indonesia mari kita bersama sama mengawasi project danantara ini,Positif
aamiin semoga pada amanah yang mengurus danatara,Positif
bang wedang kopinya enak tidak si itu,Netral
danantara kalau gagal resiko prabowo bakal revolusi dan hukum jokowi kian terbuka,Netral
ladang bagi para tikus tikus kantor,Netral
tidak percaya,Positif
mdb in the making again,Negatif
uang atau aset rb t,Netral
terima kasih you penjelasannya ko,Positif
kalau mulyono ada di dalam struktur kepengurusannya alamat bakal gagal nih,Negatif
danantara dana untuk pilpres,Netral
bravo pak prabowo kami percaya langkah bapak indonesia hebat ditangan bapak,Positif
asal lh betul jgn omon,Netral
mantap bang,Positif
saya masih agak ragu bang karena dsitu nyalip mantan presiden terakhir kita coba spil dong tek rekor mantan presiden terakhir tahun kmaren yang valid,Positif
setuju bpk cerdas saya bangga bpk cerdas beri semangat dan antara sukses,Positif
ladang korupsi tidak si ini,Negatif
iya jelas,Positif
danantara akan gagal jika korupsi jalan terus,Negatif
surat terbuka untuk raymond chin bumn sendiri saja dibawah kepemimpinan si thohir masih bermasalah dan ada banyak kasus korupsi masuk menteri keuangan yang menghabiskan dana hingga miliaran untuk program coretax dimana coretax ini umum di bagian yang banyak korupsi seperti dpr bank indonesia pt antam pt nickel dan pt milik bumn lainnya oh tidak tetapi diberikan kepada pengusaha pengusaha yang jelas sudah mau mati dibuat pemerintah sehingga makin sekarat belum lagi pernyataan dari sri mulyani yang mengatakan angka kemiskinan mulai turun tetapi malah makin hancur sehingga banyak dicemooh banyak orang yah menurut saya program ini juga tidak terlalu sempurna kita lihat saja perkataan saya ini nantinya erick thohir dan beberapa orang akan terkena kasus korupsi masalah pertamina dan juga kasus korupsi di bumn belum selesai semua,Negatif
gagal tidak tetapi hancur iya,Negatif
selama korupsi tidak di sikapi d ngan tegas dan konsisten lupakan danantara,Negatif
saya harap ahok boleh dilbatkan karena saya percaya indepedensi dan profesional beliau dalam mengeksekusi sebuah rencana,Positif
yang terpenting semoga mulyono and geng boleh dapat hidayah amiin,Positif
saya melihat danantara ini pintu gerbang kehancuran indonesia dan jalan mudah bagi negara cina untuk kuasai indonesia keren kas negara sudah kosong dan investasi besar kemungkinan gagal,Negatif
ikuti saja perintah bpk presiden prabowo subiantokrn dialah presiden yang mau memperbaiki bangsa dlm keterpurukan dari beberapa tahun terakhir otak presiden visi dan misinya tidak kesampaian ke orang yang kurang pengetahuan sejaraharti trnsformasi belum tau orang yang awam informasi trk kasih,Positif
hayuk aku juga pngin liat danantara ini dalam membangun kesejahteraan rakyat boleh terlaksana,Positif
beri hub danantara dengan bca dan bank nasional,Netral
bang dari lubuk hati saya yang terdalam saya salut banget sama nasionalisme kamu sampai keluar air mata pas saya nonton video kamu,Netral
mau apapun project nya ke depan untuk menuju indonesia emas kalau sudah di sahkan kamu hukum mati koruptor rakyat akan sepenuhnya mendukung apapun itu project nya danantara salah satu nya,Negatif
kalau dividen bumn masuk danantara nanti apbn ngambil dari pos mana lagi,Netral
ini sama halnya dengan mdb di malaysia yah,Negatif
awas hati rawan hilang,Negatif
jika yang kecil saja masih belum tertangani logika saya berpikir yang besar pun pasti tidak akan boleh tertanangani malahan pemerintah akan kewalahan dengan proses uang danantara yang bergulir saran saya pemerintah buktikan dulu pemeberantasan korupsi yang terjadi baru boleh mimpi pakai sistem danantara itu,Negatif
maaf to says saya kok melihat ini akan berujung pada proyek balas budi politik iya,Positif
