id,comment,cleanText,typoNormalized,translated,negationHandled,noStopword,tokens,stemmed,wordCount,finalText,sentiment,confidence,labelMethod
12,Smg suatu saat nanti bisa jalan² ke LN,smg suatu saat nanti bisa jalan² ke ln,smg suatu saat nanti boleh jalan² ke lain,smg suatu saat nanti boleh jalan² ke lain,smg suatu saat nanti boleh jalan² ke lain,smg suatu nanti jalan² lain,"['smg', 'suatu', 'nanti', 'jalan²', 'lain']",smg suatu nanti jalan lain,5,smg suatu nanti jalan lain,Netral,Low,Auto
13,Bougenville kayanya kalau ngomongin bunga...,bougenville kayanya kalau ngomongin bunga,bougenville kayanya kalau ngomongin bunga,bougenville kayanya kalau ngomongin bunga,bougenville kayanya kalau ngomongin bunga,bougenville kayanya kalau ngomongin bunga,"['bougenville', 'kayanya', 'kalau', 'ngomongin', 'bunga']",bougenville kaya kalau ngomongin bunga,5,bougenville kaya kalau ngomongin bunga,Netral,Low,Auto
14,"Lanjutin ke Postiano, Italia. Disana cantik banget tempatnya, atau Capri atau tempat lainya yang cantik di Italia.",lanjutin ke postiano italia disana cantik banget tempatnya atau capri atau tempat lainya yang cantik di italia,lanjutin ke postiano italia disana cantik banget tempatnya atau capri atau tempat lainya yang cantik di italia,lanjutin ke postiano italia disana cantik banget tempatnya atau capri atau tempat lainya yang cantik di italia,lanjutin ke postiano italia disana cantik banget tempatnya atau capri atau tempat lainya yang cantik di italia,lanjutin postiano italia disana cantik banget tempatnya capri tempat lainya cantik italia,"['lanjutin', 'postiano', 'italia', 'disana', 'cantik', 'banget', 'tempatnya', 'capri', 'tempat', 'lainya', 'cantik', 'italia']",lanjutin postiano italia sana cantik banget tempat capri tempat lai cantik italia,12,lanjutin postiano italia sana cantik banget tempat capri tempat lai cantik italia,Netral,Low,Auto
15,Bagus n bersih kota Tunisia kota sejarah ❤❤,bagus n bersih kota tunisia kota sejarah,bagus n bersih kota tunisia kota sejarah,bagus n bersih kota tunisia kota sejarah,bagus n bersih kota tunisia kota sejarah,bagus n bersih kota tunisia kota sejarah,"['bagus', 'n', 'bersih', 'kota', 'tunisia', 'kota', 'sejarah']",bagus n bersih kota tunisia kota sejarah,7,bagus n bersih kota tunisia kota sejarah,Netral,Medium,Auto
16,42:50 bukan Byzantium.. Tapi ottoman.... Byzantium itu eastern Orthodox.. Ga ad lah sabit2,bukan byzantium tapi ottoman byzantium itu eastern orthodox ga ad lah sabit,bukan byzantium tetapi ottoman byzantium itu eastern orthodox tidak ad lah sabit,bukan byzantium tetapi ottoman byzantium itu eastern orthodox tidak ad lah sabit,bukan byzantium tetapi ottoman byzantium itu eastern orthodox tidak ad lah sabit,bukan byzantium ottoman byzantium eastern orthodox ad lah sabit,"['bukan', 'byzantium', 'ottoman', 'byzantium', 'eastern', 'orthodox', 'ad', 'lah', 'sabit']",bukan byzantium ottoman byzantium eastern orthodox ad lah sabit,9,bukan byzantium ottoman byzantium eastern orthodox ad lah sabit,Netral,Low,Auto
17,😊Semoga Bisa Mike ..punya Rumah Seperti di Tunisia.dan Inshaa Allah Bisa ke Santorini next time ya....🤲👍😍Aamiin....,semoga bisa mike punya rumah seperti di tunisiadan insha allah bisa ke santorini next time yaaamiin,semoga boleh mike punya rumah seperti di tunisiadan insha allah boleh ke santorini next time yaaamiin,semoga boleh mike punya rumah seperti di tunisiadan insha allah boleh ke santorini next time yaaamiin,semoga boleh mike punya rumah seperti di tunisiadan insha allah boleh ke santorini next time yaaamiin,semoga mike punya rumah di tunisiadan insha allah ke santorini next time yaaamiin,"['semoga', 'mike', 'punya', 'rumah', 'di', 'tunisiadan', 'insha', 'allah', 'ke', 'santorini', 'next', 'time', 'yaaamiin']",semoga mike punya rumah di tunisiadan insha allah ke santorini next time yaaamiin,13,semoga mike punya rumah di tunisiadan insha allah ke santorini next time yaaamiin,Positif,Medium,Auto
18,Carthage tu yg bangun kan Dido... Bukan org romawi...justru Carthage tu saingannya romawi,carthage tu yg bangun kan dido bukan org romawijustru carthage tu saingannya romawi,carthage tu yang bangun kan dido bukan orang romawijustru carthage tu saingannya romawi,carthage tu yang bangun kan dido bukan orang romawijustru carthage tu saingannya romawi,carthage tu yang bangun kan dido bukan orang romawijustru carthage tu saingannya romawi,carthage tu bangun kan dido bukan orang romawijustru carthage tu saingannya romawi,"['carthage', 'tu', 'bangun', 'kan', 'dido', 'bukan', 'orang', 'romawijustru', 'carthage', 'tu', 'saingannya', 'romawi']",carthage tu bangun kan dido bukan orang romawijustru carthage tu saing romawi,12,carthage tu bangun kan dido bukan orang romawijustru carthage tu saing romawi,Negatif,Medium,Auto
19,"wah jadi kangen tunisia, thanks video jalan2 di Tunisianya",wah jadi kangen tunisia thanks video jalan di tunisianya,wah jadi rindu tunisia terima kasih video jalan di tunisianya,wah jadi rindu tunisia terima kasih video jalan di tunisianya,wah jadi rindu tunisia terima kasih video jalan di tunisianya,wah jadi rindu tunisia terima kasih video jalan tunisianya,"['wah', 'jadi', 'rindu', 'tunisia', 'terima', 'kasih', 'video', 'jalan', 'tunisianya']",wah jadi rindu tunisia terima kasih video jalan tunisianya,9,wah jadi rindu tunisia terima kasih video jalan tunisianya,Positif,High,Auto
20,Santorini versi halal travel...,santorini versi halal travel,santorini versi halal travel,santorini versi halal travel,santorini versi halal travel,santorini versi halal travel,"['santorini', 'versi', 'halal', 'travel']",santorini versi halal travel,4,santorini versi halal travel,Positif,Medium,Auto
21,46:40 koniciwa ngak tuh bang michael😂dikira orang jepang😭😭,koniciwa ngak tuh bang michaeldikira orang jepang,koniciwa ngak tuh bang michaeldikira orang jepang,koniciwa ngak tuh bang michaeldikira orang jepang,koniciwa ngak tuh bang michaeldikira orang jepang,koniciwa ngak tuh bang michaeldikira orang jepang,"['koniciwa', 'ngak', 'tuh', 'bang', 'michaeldikira', 'orang', 'jepang']",koniciwa ngak tuh bang michaeldikira orang jepang,7,koniciwa ngak tuh bang michaeldikira orang jepang,Netral,Low,Auto
22,Orang di luar asia pasti lansung nyapa orang yang mukanya asia timur/tenggara/tengah pasti kalau ngk nihao/koniciwa😂,orang di luar asia pasti lansung nyapa orang yang mukanya asia timurtenggaratengah pasti kalau ngk nihaokoniciwa,orang di luar asia pasti lansung nyapa orang yang mukanya asia timurtenggaratengah pasti kalau ngk nihaokoniciwa,orang di luar asia pasti lansung nyapa orang yang mukanya asia timurtenggaratengah pasti kalau ngk nihaokoniciwa,orang di luar asia pasti lansung nyapa orang yang mukanya asia timurtenggaratengah pasti kalau ngk nihaokoniciwa,orang luar asia lansung nyapa orang mukanya asia timurtenggaratengah kalau ngk nihaokoniciwa,"['orang', 'luar', 'asia', 'lansung', 'nyapa', 'orang', 'mukanya', 'asia', 'timurtenggaratengah', 'kalau', 'ngk', 'nihaokoniciwa']",orang luar asia lansung nyapa orang muka asia timurtenggaratengah kalau ngk nihaokoniciwa,12,orang luar asia lansung nyapa orang muka asia timurtenggaratengah kalau ngk nihaokoniciwa,Positif,Medium,Auto
23,"Ternyata Carthage itu ad. Carthago....baru ngeh dan flash back waktu belajar sejarah dunia 43 thn yg lalu, makasih Mike jalan2 nya",ternyata carthage itu ad carthagobaru ngeh dan flash back waktu belajar sejarah dunia thn yg lalu makasih mike jalan nya,ternyata carthage itu ad carthagobaru ngeh dan flash back waktu belajar sejarah dunia thn yang lalu terima kasih mike jalan nya,ternyata carthage itu ad carthagobaru ngeh dan flash back waktu belajar sejarah dunia thn yang lalu terima kasih mike jalan nya,ternyata carthage itu ad carthagobaru ngeh dan flash back waktu belajar sejarah dunia thn yang lalu terima kasih mike jalan nya,ternyata carthage ad carthagobaru ngeh flash back waktu belajar sejarah dunia thn lalu terima kasih mike jalan nya,"['ternyata', 'carthage', 'ad', 'carthagobaru', 'ngeh', 'flash', 'back', 'waktu', 'belajar', 'sejarah', 'dunia', 'thn', 'lalu', 'terima', 'kasih', 'mike', 'jalan', 'nya']",nyata carthage ad carthagobaru ngeh flash back waktu belajar sejarah dunia thn lalu terima kasih mike jalan nya,18,nyata carthage ad carthagobaru ngeh flash back waktu belajar sejarah dunia thn lalu terima kasih mike jalan nya,Positif,High,Auto
24,"Ngikutin terus yaa mikes, berasa ikutan ke luar negri juga",ngikutin terus ya mikes berasa ikutan ke luar negri juga,ngikutin terus iya mikes berasa ikutan ke luar negri juga,ngikutin terus iya mikes berasa ikutan ke luar negri juga,ngikutin terus iya mikes berasa ikutan ke luar negri juga,ngikutin terus iya mikes berasa ikutan luar negri,"['ngikutin', 'terus', 'iya', 'mikes', 'berasa', 'ikutan', 'luar', 'negri']",ngikutin terus iya mikes asa ikut luar negri,8,ngikutin terus iya mikes asa ikut luar negri,Netral,Low,Auto
25,"itu yg bunga warna warni kalo di daerahhku dibilangnya bunga kertas😂

kalo yg mike pegang warna putih melati",itu yg bunga warna warni kalo di daerahhku dibilangnya bunga kertas kalo yg mike pegang warna putih melati,itu yang bunga warna warni kalau di daerahhku dibilangnya bunga kertas kalau yang mike pegang warna putih melati,itu yang bunga warna warni kalau di daerahhku dibilangnya bunga kertas kalau yang mike pegang warna putih melati,itu yang bunga warna warni kalau di daerahhku dibilangnya bunga kertas kalau yang mike pegang warna putih melati,bunga warna warni kalau daerahhku dibilangnya bunga kertas kalau yang mike pegang warna putih melati,"['bunga', 'warna', 'warni', 'kalau', 'daerahhku', 'dibilangnya', 'bunga', 'kertas', 'kalau', 'yang', 'mike', 'pegang', 'warna', 'putih', 'melati']",bunga warna warni kalau daerahhku bilang bunga kertas kalau yang mike pegang warna putih melati,15,bunga warna warni kalau daerahhku bilang bunga kertas kalau yang mike pegang warna putih melati,Netral,Low,Auto
26,"Itu namanya bunga Bougenville bang , yg nempel di pintu tadi",itu namanya bunga bougenville bang yg nempel di pintu tadi,itu namanya bunga bougenville bang yang nempel di pintu tadi,itu namanya bunga bougenville bang yang nempel di pintu tadi,itu namanya bunga bougenville bang yang nempel di pintu tadi,namanya bunga bougenville bang nempel pintu tadi,"['namanya', 'bunga', 'bougenville', 'bang', 'nempel', 'pintu', 'tadi']",nama bunga bougenville bang nempel pintu tadi,7,nama bunga bougenville bang nempel pintu tadi,Positif,Medium,Auto
27,Next video benua Africa belum di jelajahi yang pakai bahasa arab yaitu Muratania dan Lybia itu kak ko Michele liu,next video benua africa belum di jelajahi yang pakai bahasa arab yaitu muratania dan lybia itu kak ko michele liu,next video benua africa belum di jelajahi yang pakai bahasa arab yaitu muratania dan lybia itu kak ko michele liu,next video benua africa belum di jelajahi yang pakai bahasa arab yaitu muratania dan lybia itu kak ko michele liu,next video benua africa belum di jelajahi yang pakai bahasa arab yaitu muratania dan lybia itu kak ko michele liu,next video benua africa di jelajahi pakai bahasa arab muratania lybia kak ko michele liu,"['next', 'video', 'benua', 'africa', 'di', 'jelajahi', 'pakai', 'bahasa', 'arab', 'muratania', 'lybia', 'kak', 'ko', 'michele', 'liu']",next video benua africa di jelajah pakai bahasa arab muratania lybia kak ko michele liu,15,next video benua africa di jelajah pakai bahasa arab muratania lybia kak ko michele liu,Netral,Low,Auto
28,Jadi.. or So..,jadi or so,jadi or so,jadi or so,jadi or so,jadi or so,"['jadi', 'or', 'so']",jadi or so,3,jadi or so,Netral,Low,Auto
29,"Sedia kopi + camilan, biar tambah enjoy nonton vlog bagus nya Mike, wah secantik itu ya Tunisia, ada area yang beneran mirip kota di Santorini dengan bangunan berwarna biru putih, makin indah dengan bunga Bougenville yang sedang mekar, dan waktu di area bebatuan berasa masuk ke dalam abad pertengahan, suasana kota yang cantik, Mike sudah mengajak kita untuk lebih dekat & tau tentang Tunisia, thank you ❤",sedia kopi camilan biar tambah enjoy nonton vlog bagus nya mike wah secantik itu ya tunisia ada area yang beneran mirip kota di santorini dengan bangunan berwarna biru putih makin indah dengan bunga bougenville yang sedang mekar dan waktu di area bebatuan berasa masuk ke dalam abad pertengahan suasana kota yang cantik mike sudah mengajak kita untuk lebih dekat tau tentang tunisia thank you,sedia kopi camilan biar tambah enjoy nonton vlog bagus nya mike wah secantik itu iya tunisia ada area yang beneran mirip kota di santorini dengan bangunan berwarna biru putih makin indah dengan bunga bougenville yang sedang mekar dan waktu di area bebatuan berasa masuk ke dalam abad pertengahan suasana kota yang cantik mike sudah mengajak kita untuk lebih dekat tau tentang tunisia terima kasih you,sedia kopi camilan biar tambah enjoy nonton vlog bagus nya mike wah secantik itu iya tunisia ada area yang beneran mirip kota di santorini dengan bangunan berwarna biru putih makin indah dengan bunga bougenville yang sedang mekar dan waktu di area bebatuan berasa masuk ke dalam abad pertengahan suasana kota yang cantik mike sudah mengajak kita untuk lebih dekat tau tentang tunisia terima kasih you,sedia kopi camilan biar tambah enjoy nonton vlog bagus nya mike wah secantik itu iya tunisia ada area yang beneran mirip kota di santorini dengan bangunan berwarna biru putih makin indah dengan bunga bougenville yang sedang mekar dan waktu di area bebatuan berasa masuk ke dalam abad pertengahan suasana kota yang cantik mike sudah mengajak kita untuk lebih dekat tau tentang tunisia terima kasih you,sedia kopi camilan biar tambah enjoy nonton vlog bagus nya mike wah secantik iya tunisia area beneran mirip kota santorini bangunan berwarna biru putih makin indah bunga bougenville sedang mekar waktu area bebatuan berasa masuk dalam abad pertengahan suasana kota cantik mike mengajak untuk lebih dekat tau tunisia terima kasih you,"['sedia', 'kopi', 'camilan', 'biar', 'tambah', 'enjoy', 'nonton', 'vlog', 'bagus', 'nya', 'mike', 'wah', 'secantik', 'iya', 'tunisia', 'area', 'beneran', 'mirip', 'kota', 'santorini', 'bangunan', 'berwarna', 'biru', 'putih', 'makin', 'indah', 'bunga', 'bougenville', 'sedang', 'mekar', 'waktu', 'area', 'bebatuan', 'berasa', 'masuk', 'dalam', 'abad', 'pertengahan', 'suasana', 'kota', 'cantik', 'mike', 'mengajak', 'untuk', 'lebih', 'dekat', 'tau', 'tunisia', 'terima', 'kasih', 'you']",sedia kopi camil biar tambah enjoy nonton vlog bagus nya mike wah cantik iya tunisia area beneran mirip kota santorini bangun warna biru putih makin indah bunga bougenville sedang mekar waktu area bebatuan asa masuk dalam abad tengah suasana kota cantik mike ajak untuk lebih dekat tau tunisia terima kasih you,51,sedia kopi camil biar tambah enjoy nonton vlog bagus nya mike wah cantik iya tunisia area beneran mirip kota santorini bangun warna biru putih makin indah bunga bougenville sedang mekar waktu area bebatuan asa masuk dalam abad tengah suasana kota cantik mike ajak untuk lebih dekat tau tunisia terima kasih you,Positif,High,Auto
30,banyak bunga bugenvil🥰,banyak bunga bugenvil,banyak bunga bugenvil,banyak bunga bugenvil,banyak bunga bugenvil,banyak bunga bugenvil,"['banyak', 'bunga', 'bugenvil']",banyak bunga bugenvil,3,banyak bunga bugenvil,Positif,Medium,Auto
31,Kyknya itu bunga bougenville,kyknya itu bunga bougenville,kyknya itu bunga bougenville,kyknya itu bunga bougenville,kyknya itu bunga bougenville,kyknya bunga bougenville,"['kyknya', 'bunga', 'bougenville']",kyknya bunga bougenville,3,kyknya bunga bougenville,Netral,Low,Auto
32,"Selamat petang liu,kali ini km exprosi dikws tunasia, cantik tempat nya,so hot beautiful building,is flower beautiful a here,ada jualan macam macam, juga disini, ini tempat sejarah lama, oklah komen dp gue, bye.😊",selamat petang liukali ini km exprosi dikws tunasia cantik tempat nyaso hot beautiful buildingis flower beautiful a hereada jualan macam macam juga disini ini tempat sejarah lama oklah komen dp gue bye,selamat petang liukali ini kamu exprosi dikws tunasia cantik tempat nyaso hot beautiful buildingis flower beautiful a hereada jualan macam macam juga disini ini tempat sejarah lama oklah komen dp saya bye,selamat petang liukali ini kamu exprosi dikws tunasia cantik tempat nyaso hot beautiful buildingis flower beautiful a hereada jualan macam macam juga disini ini tempat sejarah lama oklah komen dp saya bye,selamat petang liukali ini kamu exprosi dikws tunasia cantik tempat nyaso hot beautiful buildingis flower beautiful a hereada jualan macam macam juga disini ini tempat sejarah lama oklah komen dp saya bye,selamat petang liukali kamu exprosi dikws tunasia cantik tempat nyaso hot beautiful buildingis flower beautiful a hereada jualan macam macam disini tempat sejarah lama oklah komen dp bye,"['selamat', 'petang', 'liukali', 'kamu', 'exprosi', 'dikws', 'tunasia', 'cantik', 'tempat', 'nyaso', 'hot', 'beautiful', 'buildingis', 'flower', 'beautiful', 'a', 'hereada', 'jualan', 'macam', 'macam', 'disini', 'tempat', 'sejarah', 'lama', 'oklah', 'komen', 'dp', 'bye']",selamat petang liukali kamu exprosi dikws tunasia cantik tempat nyaso hot beautiful buildingis flower beautiful a hereada jual macam macam sini tempat sejarah lama oklah komen dp bye,28,selamat petang liukali kamu exprosi dikws tunasia cantik tempat nyaso hot beautiful buildingis flower beautiful a hereada jual macam macam sini tempat sejarah lama oklah komen dp bye,Netral,Medium,Auto
33,Mayoritas negara2 bekas koloni Perancis cakep2 ya infrastrukturnya😅 Vietnam aja meski hanya bagian Selatan (Ho Chi Min City) yg pernah sebentar jadi koloni Perancis tapi infrastruktur di Ho Chi Min City kalo kalian pernah ke sana lumayan cakep2 secara arsitektural...,mayoritas negara bekas koloni perancis cakep ya infrastrukturnya vietnam aja meski hanya bagian selatan ho chi min city yg pernah sebentar jadi koloni perancis tapi infrastruktur di ho chi min city kalo kalian pernah ke sana lumayan cakep secara arsitektural,mayoritas negara bekas koloni perancis cakep iya infrastrukturnya vietnam saja meski hanya bagian selatan ho chi min city yang pernah sebentar jadi koloni perancis tetapi infrastruktur di ho chi min city kalau kalian pernah ke sana lumayan cakep secara arsitektural,mayoritas negara bekas koloni perancis cakep iya infrastrukturnya vietnam saja meski hanya bagian selatan ho chi min city yang pernah sebentar jadi koloni perancis tetapi infrastruktur di ho chi min city kalau kalian pernah ke sana lumayan cakep secara arsitektural,mayoritas negara bekas koloni perancis cakep iya infrastrukturnya vietnam saja meski hanya bagian selatan ho chi min city yang pernah sebentar jadi koloni perancis tetapi infrastruktur di ho chi min city kalau kalian pernah ke sana lumayan cakep secara arsitektural,mayoritas negara bekas koloni perancis cakep iya infrastrukturnya vietnam meski bagian selatan ho chi min city pernah sebentar jadi koloni perancis infrastruktur ho chi min city kalau kalian pernah sana lumayan cakep arsitektural,"['mayoritas', 'negara', 'bekas', 'koloni', 'perancis', 'cakep', 'iya', 'infrastrukturnya', 'vietnam', 'meski', 'bagian', 'selatan', 'ho', 'chi', 'min', 'city', 'pernah', 'sebentar', 'jadi', 'koloni', 'perancis', 'infrastruktur', 'ho', 'chi', 'min', 'city', 'kalau', 'kalian', 'pernah', 'sana', 'lumayan', 'cakep', 'arsitektural']",mayoritas negara bekas koloni perancis cakep iya infrastruktur vietnam meski bagi selatan ho chi min city pernah sebentar jadi koloni perancis infrastruktur ho chi min city kalau kalian pernah sana lumayan cakep arsitektural,33,mayoritas negara bekas koloni perancis cakep iya infrastruktur vietnam meski bagi selatan ho chi min city pernah sebentar jadi koloni perancis infrastruktur ho chi min city kalau kalian pernah sana lumayan cakep arsitektural,Positif,Medium,Auto
34,Gak juga... Lihat dong afrika yg laen😅😅😅😅,gak juga lihat dong afrika yg laen,tidak juga lihat dong afrika yang laen,tidak juga lihat dong afrika yang laen,tidak juga lihat dong afrika yang laen,juga lihat dong afrika laen,"['juga', 'lihat', 'dong', 'afrika', 'laen']",juga lihat dong afrika laen,5,juga lihat dong afrika laen,Netral,Low,Auto
35,"@SumardiSumardi-ty6mz Kan gw tulis ""mayoritas"" artinya gak semua. Selain Tunisia, ada Algeria, Maroko, Aljazair, Madagaskar dll juga lumayan cakep, ya gak semua sama aja kayak negara2 bekas koloni Inggris juga gak semua cakep/maju...",tymz kan gw tulis mayoritas artinya gak semua selain tunisia ada algeria maroko aljazair madagaskar dl juga lumayan cakep ya gak semua sama aja kayak negara bekas koloni inggris juga gak semua cakepmaju,tymz kan saya tulis mayoritas artinya tidak semua selain tunisia ada algeria maroko aljazair madagaskar dulu juga lumayan cakep iya tidak semua sama saja seperti negara bekas koloni inggris juga tidak semua cakepmaju,tymz kan saya tulis mayoritas artinya tidak semua selain tunisia ada algeria maroko aljazair madagaskar dulu juga lumayan cakep iya tidak semua sama saja seperti negara bekas koloni inggris juga tidak semua cakepmaju,tymz kan saya tulis mayoritas artinya tidak semua selain tunisia ada algeria maroko aljazair madagaskar dulu juga lumayan cakep iya tidak semua sama saja seperti negara bekas koloni inggris juga tidak semua cakepmaju,tymz kan tulis mayoritas artinya semua tunisia algeria maroko aljazair madagaskar dulu lumayan cakep iya semua sama seperti negara bekas koloni inggris tidak semua cakepmaju,"['tymz', 'kan', 'tulis', 'mayoritas', 'artinya', 'semua', 'tunisia', 'algeria', 'maroko', 'aljazair', 'madagaskar', 'dulu', 'lumayan', 'cakep', 'iya', 'semua', 'sama', 'seperti', 'negara', 'bekas', 'koloni', 'inggris', 'tidak', 'semua', 'cakepmaju']",tymz kan tulis mayoritas arti semua tunisia algeria maroko aljazair madagaskar dulu lumayan cakep iya semua sama seperti negara bekas koloni inggris tidak semua cakepmaju,25,tymz kan tulis mayoritas arti semua tunisia algeria maroko aljazair madagaskar dulu lumayan cakep iya semua sama seperti negara bekas koloni inggris tidak semua cakepmaju,Positif,High,Auto
