id,comment,cleanText,typoNormalized,translated,negationHandled,noStopword,tokens,stemmed,wordCount,finalText
13,"@prafastabima6331  
wkwkw caper bet lu",wkwkw caper bet lu,wkwkw caper bet kamu,wkwkw caper bet kamu,wkwkw caper bet kamu,wkwkw caper bet kamu,"['wkwkw', 'caper', 'bet', 'kamu']",wkwkw caper bet kamu,4,wkwkw caper bet kamu
14,Hmmm,hm,hm,hm,hm,hm,['hm'],hm,1,hm
15,"gk usah bangga, ini di pin admin",gk usah bangga ini di pin admin,tidak usah bangga ini di pin admin,tidak usah bangga ini di pin admin,biar bangga ini di pin admin,biar bangga di pin admin,"['biar', 'bangga', 'di', 'pin', 'admin']",biar bangga di pin admin,5,biar bangga di pin admin
16,tim produksi selalu liat komen kali biar bisa di bahas sama mereka tentang kekurangan konten atau masukan,tim produksi selalu liat komen kali biar bisa di bahas sama mereka tentang kekurangan konten atau masukan,tim produksi selalu liat komen kali biar boleh di bahas sama mereka tentang kekurangan konten atau masukan,tim produksi selalu liat komen kali biar boleh di bahas sama mereka tentang kekurangan konten atau masukan,tim produksi selalu liat komen kali biar boleh di bahas sama mereka tentang kekurangan konten atau masukan,tim produksi selalu liat komen kali biar di bahas sama tentang kekurangan konten masukan,"['tim', 'produksi', 'selalu', 'liat', 'komen', 'kali', 'biar', 'di', 'bahas', 'sama', 'tentang', 'kekurangan', 'konten', 'masukan']",tim produksi selalu liat komen kali biar di bahas sama tentang kurang konten masukan,14,tim produksi selalu liat komen kali biar di bahas sama tentang kurang konten masukan
17,Apakah ada keuntungan ekonominya?,apakah ada keuntungan ekonominya,apakah ada keuntungan ekonominya,apakah ada keuntungan ekonominya,apakah ada keuntungan ekonominya,ada keuntungan ekonominya,"['ada', 'keuntungan', 'ekonominya']",ada keuntungan ekonomi,3,ada keuntungan ekonomi
18,nahloh,nahloh,nahloh,nahloh,nahloh,nahloh,['nahloh'],nahloh,1,nahloh
19,Orang banyak bener yg ngiri,orang banyak bener yg ngiri,orang banyak bener yang ngiri,orang banyak bener yang ngiri,orang banyak bener yang ngiri,orang banyak bener ngiri,"['orang', 'banyak', 'bener', 'ngiri']",orang banyak bener ngiri,4,orang banyak bener ngiri
20,"Dia masih kecil biarin sih, anak seneng kok, ditanya apa manfaatnya",dia masih kecil biarin sih anak seneng kok ditanya apa manfaatnya,dia masih kecil biarin sih anak senang kok ditanya apa manfaatnya,dia masih kecil biarin sih anak senang kok ditanya apa manfaatnya,dia masih kecil biarin sih anak senang kok ditanya apa manfaatnya,masih kecil biarin sih anak senang kok ditanya apa manfaatnya,"['masih', 'kecil', 'biarin', 'sih', 'anak', 'senang', 'kok', 'ditanya', 'apa', 'manfaatnya']",masih kecil biarin sih anak senang kok tanya apa manfaat,10,masih kecil biarin sih anak senang kok tanya apa manfaat
21,Wkwkwk caper bet lu 😂,wkwkwk caper bet lu,wkwkwk caper bet kamu,wkwkwk caper bet kamu,wkwkwk caper bet kamu,wkwkwk caper bet kamu,"['wkwkwk', 'caper', 'bet', 'kamu']",wkwkwk caper bet kamu,4,wkwkwk caper bet kamu
22,"caper, binatang",caper binatang,caper binatang,caper binatang,caper binatang,caper binatang,"['caper', 'binatang']",caper binatang,2,caper binatang
23,Siapa lo😂😂😂,siapa lo,siapa kamu,siapa kamu,siapa kamu,siapa kamu,"['siapa', 'kamu']",siapa kamu,2,siapa kamu
24,Awokawokawok,awokawokawok,awokawokawok,awokawokawok,awokawokawok,awokawokawok,['awokawokawok'],awokawokawok,1,awokawokawok
25,"Yaa gak mungkin lah, komen lu di pin kan ama si fadil😂",ya gak mungkin lah komen lu di pin kan ama si fadil,iya tidak mungkin lah komen kamu di pin kan ama si fadil,iya tidak mungkin lah komen kamu di pin kan ama si fadil,iya tidak mungkin lah komen kamu di pin kan ama si fadil,iya mungkin lah komen kamu pin kan ama si fadil,"['iya', 'mungkin', 'lah', 'komen', 'kamu', 'pin', 'kan', 'ama', 'si', 'fadil']",iya mungkin lah komen kamu pin kan ama si fadil,10,iya mungkin lah komen kamu pin kan ama si fadil
26,Biarkan lah para fakir pin sesekali berbahagia,biarkan lah para fakir pin sesekali berbahagia,biarkan lah para fakir pin sesekali berbahagia,biarkan lah para fakir pin sesekali berbahagia,biarkan lah para fakir pin sesekali berbahagia,biarkan lah fakir pin sesekali berbahagia,"['biarkan', 'lah', 'fakir', 'pin', 'sesekali', 'berbahagia']",biar lah fakir pin sekal berbahagia,6,biar lah fakir pin sekal berbahagia
27,Nah loh,nah loh,nah loh,nah loh,nah loh,nah loh,"['nah', 'loh']",nah loh,2,nah loh
28,​@joes5318iri?,​,​,​,​,​,['\u200b'],,1,
29,yee caper lu,ye caper lu,ye caper kamu,ye caper kamu,ye caper kamu,ye caper kamu,"['ye', 'caper', 'kamu']",ye caper kamu,3,ye caper kamu
30,"Betul juga bukan dia
Tapi tim nya",betul juga bukan dia tapi tim nya,betul juga bukan dia tetapi tim nya,betul juga bukan dia tetapi tim nya,betul juga bukan dia tetapi tim nya,betul bukan tetapi tim nya,"['betul', 'bukan', 'tetapi', 'tim', 'nya']",betul bukan tetapi tim nya,5,betul bukan tetapi tim nya
31,Di pin karena video youtube ni anak isinya contentnya POKEMON !,di pin karena video youtube ni anak isinya contentnya pokemon,di pin karena video youtube ni anak isinya contentnya pokemon,di pin karena video youtube ni anak isinya contentnya pokemon,di pin karena video youtube ni anak isinya contentnya pokemon,pin video youtube ni anak isinya contentnya pokemon,"['pin', 'video', 'youtube', 'ni', 'anak', 'isinya', 'contentnya', 'pokemon']",pin video youtube ni anak isi contentnya pokemon,8,pin video youtube ni anak isi contentnya pokemon
32,Ngemis bet om,ngemis bet om,ngemis bet om,ngemis bet om,ngemis bet om,ngemis bet om,"['ngemis', 'bet', 'om']",ngemis bet om,3,ngemis bet om
33,Di pin buat di katain 😆😆,di pin buat di katain,di pin buat di katain,di pin buat di katain,di pin buat di katain,pin buat katain,"['pin', 'buat', 'katain']",pin buat katain,3,pin buat katain
34,rasain lu ! emang enak dipin ?,rasain lu emang enak dipin,rasain kamu memang enak dipin,rasain kamu memang enak dipin,rasain kamu memang enak dipin,rasain kamu memang enak dipin,"['rasain', 'kamu', 'memang', 'enak', 'dipin']",rasain kamu memang enak pin,5,rasain kamu memang enak pin
35,"Plot twist :  yg pin itu Admin Yutub Radit , bukan Bang Radit 🤣🤣",plot twist yg pin itu admin yutub radit bukan bang radit,plot twist yang pin itu admin yutub radit bukan bang radit,plot twist yang pin itu admin yutub radit bukan bang radit,plot twist yang pin itu admin yutub radit adik radit,plot twist pin admin yutub radit adik radit,"['plot', 'twist', 'pin', 'admin', 'yutub', 'radit', 'adik', 'radit']",plot twist pin admin yutub radit adik radit,8,plot twist pin admin yutub radit adik radit
36,yang ngepinned juga admin nyaa,yang ngepinned juga admin nya,yang ngepinned juga admin nya,yang ngepinned juga admin nya,yang ngepinned juga admin nya,ngepinned admin nya,"['ngepinned', 'admin', 'nya']",ngepinned admin nya,3,ngepinned admin nya
37,Anjirrrr,anjir,anjir,anjir,anjir,anjir,['anjir'],anjir,1,anjir
38,Cieh di pin😂,cieh di pin,cieh di pin,cieh di pin,cieh di pin,cieh pin,"['cieh', 'pin']",cieh pin,2,cieh pin
39,"Kalo di Pin terus apa? Dapet duit? Plis kasih tau gua dong, gua pengen banget di Pin besok",kalo di pin terus apa dapet duit plis kasih tau gua dong gua pengen banget di pin besok,kalau di pin terus apa dapet duit plis kasih tau saya dong saya pengen banget di pin besok,kalau di pin terus apa dapet duit plis kasih tau saya dong saya pengen banget di pin besok,kalau di pin terus apa dapet duit plis kasih tau saya dong saya pengen banget di pin besok,kalau pin terus apa dapet duit plis kasih tau dong pengen banget pin besok,"['kalau', 'pin', 'terus', 'apa', 'dapet', 'duit', 'plis', 'kasih', 'tau', 'dong', 'pengen', 'banget', 'pin', 'besok']",kalau pin terus apa dapet duit plis kasih tau dong ken banget pin besok,14,kalau pin terus apa dapet duit plis kasih tau dong ken banget pin besok
40,dan usahanya berhasil,dan usahanya berhasil,dan usahanya berhasil,dan usahanya berhasil,dan usahanya berhasil,usahanya berhasil,"['usahanya', 'berhasil']",usaha berhasil,2,usaha berhasil
41,nah loh bang tuh di pin😂,nah loh bang tuh di pin,nah loh bang tuh di pin,nah loh bang tuh di pin,nah loh bang tuh di pin,nah loh bang tuh pin,"['nah', 'loh', 'bang', 'tuh', 'pin']",nah loh bang tuh pin,5,nah loh bang tuh pin
42,Sh*t he pinned it,sht he pinned it,sht he pinned it,sialnya dia menyematkannya,sialnya dia menyematkannya,sialnya menyematkannya,"['sialnya', 'menyematkannya']",sial semat,2,sial semat
43,Jail bgt sih timnya wkwkw,jail bgt sih timnya wkwkw,jail banget sih timnya wkwkw,jail banget sih timnya wkwkw,jail banget sih timnya wkwkw,jail banget sih timnya wkwkw,"['jail', 'banget', 'sih', 'timnya', 'wkwkw']",jail banget sih tim wkwkw,5,jail banget sih tim wkwkw
44,"hayo lo di pin, minta maaf lu",hayo lo di pin minta maaf lu,hayo kamu di pin minta maaf kamu,hayo kamu di pin minta maaf kamu,hayo kamu di pin minta maaf kamu,hayo kamu pin minta maaf kamu,"['hayo', 'kamu', 'pin', 'minta', 'maaf', 'kamu']",hayo kamu pin minta maaf kamu,6,hayo kamu pin minta maaf kamu
45,Yang pin comment juga karyawan nya 😂,yang pin comment juga karyawan nya,yang pin comment juga karyawan nya,yang pin comment juga karyawan nya,yang pin comment juga karyawan nya,pin comment karyawan nya,"['pin', 'comment', 'karyawan', 'nya']",pin comment karyawan nya,4,pin comment karyawan nya
46,HAYOOOO LOOO BANGG DI PIN AMA BANG DIKAAA🙂‍↔️,hayo lo bang di pin ama bang dika‍↔,hayo kamu bang di pin ama bang dika‍↔,hayo kamu bang di pin ama bang dika‍↔,hayo kamu bang di pin ama bang dika‍↔,hayo kamu bang pin ama bang dika‍↔,"['hayo', 'kamu', 'bang', 'pin', 'ama', 'bang', 'dika\u200d↔']",hayo kamu bang pin ama bang dika,7,hayo kamu bang pin ama bang dika
47,Apa salah orang yang di pin ini sampai di hujat hujat,apa salah orang yang di pin ini sampai di hujat hujat,apa salah orang yang di pin ini sampai di hujat hujat,apa salah orang yang di pin ini sampai di hujat hujat,apa salah orang yang di pin ini sampai di hujat hujat,apa salah orang pin sampai di hujat hujat,"['apa', 'salah', 'orang', 'pin', 'sampai', 'di', 'hujat', 'hujat']",apa salah orang pin sampai di hujat hujat,8,apa salah orang pin sampai di hujat hujat
48,Tentu saja yg ngepin editor/ admin bukan bang Radit,tentu saja yg ngepin editor admin bukan bang radit,tentu saja yang ngepin editor admin bukan bang radit,tentu saja yang ngepin editor admin bukan bang radit,tentu saja yang ngepin editor admin adik radit,saja ngepin editor admin adik radit,"['saja', 'ngepin', 'editor', 'admin', 'adik', 'radit']",saja ngepin editor admin adik radit,6,saja ngepin editor admin adik radit
49,Mampus di Pin 😅,mampus di pin,mampus di pin,mampus di pin,mampus di pin,mampus pin,"['mampus', 'pin']",mampus pin,2,mampus pin
50,​@joes5318😂😂😂,​,​,​,​,​,['\u200b'],,1,
51,😮,,,,,,[],,0,
52,41:43 4 41:44 1:43 f 41:46 😊 41:48 41:49 u 41:50 41:52 y😊h 41:58 hx,f u yh hx,f kamu yh hx,f kamu yh hx,f kamu yh hx,f kamu yh hx,"['f', 'kamu', 'yh', 'hx']",f kamu yh hx,4,f kamu yh hx
53,"​@acehkhan  iyaa.. gokil sih, lebih dari 1 dekade",​ iya gokil sih lebih dari dekade,​ iya gokil sih lebih dari dekade,​ iya gokil sih lebih dari dekade,​ iya gokil sih lebih dari dekade,​ iya gokil sih lebih dekade,"['\u200b', 'iya', 'gokil', 'sih', 'lebih', 'dekade']", iya gokil sih lebih dekade,6, iya gokil sih lebih dekade
54,​@acehkhansepuhan elu bang,​ elu bang,​ kamu bang,​ kamu bang,​ kamu bang,​ kamu bang,"['\u200b', 'kamu', 'bang']", kamu bang,3, kamu bang
55,​@prafastabima6331iri2,​,​,​,​,​,['\u200b'],,1,
56,Si penting 😂,si penting,si penting,si penting,si penting,si penting,"['si', 'penting']",si penting,2,si penting
57,mampua,mampua,mampua,mampua,mampua,mampua,['mampua'],mampua,1,mampua
58,Mana mungkin seorang Bang Raditya Dika pin comment ini,mana mungkin seorang bang raditya dika pin comment ini,mana mungkin seorang bang raditya dika pin comment ini,mana mungkin seorang bang raditya dika pin comment ini,mana mungkin seorang bang raditya dika pin comment ini,mana mungkin seorang bang raditya dika pin comment,"['mana', 'mungkin', 'seorang', 'bang', 'raditya', 'dika', 'pin', 'comment']",mana mungkin orang bang raditya dika pin comment,8,mana mungkin orang bang raditya dika pin comment
59,ah paling yg ngepin tyo,ah paling yg ngepin tyo,ah paling yang ngepin tyo,ah paling yang ngepin tyo,ah paling yang ngepin tyo,ah paling ngepin tyo,"['ah', 'paling', 'ngepin', 'tyo']",ah paling ngepin tyo,4,ah paling ngepin tyo
60,kerjaan fadil ini,kerjaan fadil ini,kerjaan fadil ini,kerjaan fadil ini,kerjaan fadil ini,kerjaan fadil,"['kerjaan', 'fadil']",kerja fadil,2,kerja fadil
61,strike 🎣🎣🎣,strike,strike,strike,strike,strike,['strike'],strike,1,strike
62,​@ahlunnazar6002umur akunku  masih belum bisa dapet KTP kok 😝,​ akunku masih belum bisa dapet ktp kok,​ akunku masih belum boleh dapet ktp kok,​ akunku masih belum boleh dapet ktp kok,​ akunku masih belum boleh dapet ktp kok,​ akunku belum dapet ktp kok,"['\u200b', 'akunku', 'belum', 'dapet', 'ktp', 'kok']", akun belum dapet ktp kok,6, akun belum dapet ktp kok
63,Buset 17 tahun bang ​@acehkhan,buset tahun bang ​,buset tahun bang ​,buset tahun bang ​,buset tahun bang ​,buset tahun bang ​,"['buset', 'tahun', 'bang', '\u200b']",buset tahun bang ,4,buset tahun bang 
64,kru,kru,kru,kru,kru,kru,['kru'],kru,1,kru
65,For real 😂,for real,for real,sebenarnya,sebenarnya,sebenarnya,['sebenarnya'],benar,1,benar
66,hayolo bang,hayolo bang,hayolo bang,hayolo bang,hayolo bang,hayolo bang,"['hayolo', 'bang']",hayolo bang,2,hayolo bang
67,Mampus 😂,mampus,mampus,mampus,mampus,mampus,['mampus'],mampus,1,mampus
